GeoNetwork,ID GeoNetwork,GeoServer,ID GeoServer
EPIDOR - Bassin versant de la Dordogne : Zones à Dominante Humide, inventaire au 1/25000e de 2011 (secteur Limousin),37c00b65-b007-40ba-a103-78ef87ca057f,EPIDOR - Zones à Dominante Humide Dordogne,FeatureTypeInfoImpl--7c49cce1:1359a5c4ecf:-5eaa
CA33 - Gironde: Bulletin Sanitaire Végétal: nombre de parcelles par commune.,a5ba3b9b-026b-4b65-bd6c-ecf466eddd46,Chambre agriculture 33 - Bulletin Sanitaire Vegetal BSV Parcelles,FeatureTypeInfoImpl-5c8f87e1:14407aa6100:-45ad
PARC4 - PNR Landes de Gascogne : Zones de Gagnage de la Grue Cendrée,877e1d2b-292a-49c9-869b-adb6333d9076,PNR LG -  Zones de Gagnage de la Grue Cendrée,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-63da
BXM - Constructions ponctuelles de faibles emprises et de grandes hauteurs issues de la BD TOPO IGN 2007  (antenne, cheminée...) sur Bordeaux Métropole,ae85a926-c605-42b5-8caf-9e729b262c99,IGN BD TOPO - Constructions légères,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e54
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Trafic TER),705bc90c-8902-4470-b02d-641bc05c816c,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Point d'accès),241c1f44-9e43-460e-abe8-0b38b75e520b,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Sous-station électrique),4eeb71a3-92c8-4499-baec-1eb7a28c19f2,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Passage souterrain),2cb2f4dd-448e-45e7-8f30-5ce8b0ccf406,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Vitesse max de ligne),68dd9747-2973-460b-83bc-8bfa222c0235,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Electrification),c0ff4752-2041-441a-a21b-4631c0063e75,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Passerelle),fd51694f-9374-487f-8e31-a15af1b27e06,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Trafic rapide et express),d01a90d7-14f8-402c-820c-078e92d433fc,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Passage à niveau),d40b5270-5177-4b68-a3a6-7623cfff716f,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Traversée voie piétons),7899bb48-0999-438f-a125-9d0cd1b92329,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Trafic marchandises),b29110e7-afd1-4169-a928-bf08f11f5a53,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Pont-rail),8e1aa443-6ec9-4d1e-a05f-4029f1e39f39,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré existant,161ef83e-1dd6-419b-b14b-fdca965d9e54,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré existant (nb de voies),f95ce5af-310e-4900-8bfe-50b68b0fab92,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Point kilométrique),0de94510-5c29-48f9-8221-5cce7fbb1416,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
SMBVL - SAGE Born et Buch : Zones humides effectives,a7b8d14f-6343-4bae-bf11-bf13f17ee0dd,SMBV des Lacs du Born - Zones humides effectives,FeatureTypeInfoImpl-6b25b570:152f4e8a74b:-388a
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (en service),13754872-309c-4133-96a1-2b21aa2e2bf4,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Gare),dede47a3-e4e4-41bf-b92f-50ef74296e4f,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Tunnel),2ea7183c-026d-4e1a-8ced-82a0687dd3bf,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Pont-route),e53cd7b0-32a1-43e9-9829-dde5649bdb87,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
CD64 - la signalétique sur les sentiers d'intérêt départemental,9d131845-696d-4c80-b2e6-1d4d3353d32a,CG 64 - Ouvrages sur les sentiers d'intérêt départemental,FeatureTypeInfoImpl-1efb5ae3:137edde9d3f:-6e97
CD24 - Dordogne : Espaces Naturels Sensibles (ENS),2f847f41-9af3-4304-b826-e936af7abe5b,CG 24 - Espaces Naturels Sensibles (Ponctuels),FeatureTypeInfoImpl-91f625d:140546729a4:3a9a
DDTM33 - Gironde : Périmètres des Plans Locaux d'Habitat (PLH),306fbc9c-9d3e-4ae8-97e3-4927c2f74538,DDTM 33 - Périmètres des Plans Locaux de l'Habitat,FeatureTypeInfoImpl--2e1400eb:133edec7535:-7e88
BXM - Ouvrages divers issus de la BD TOPO IGN 2007 sur Bordeaux Métropole,b28e9b83-d7b3-4d24-821a-89bb8dc561be,IGN BD TOPO - Toponymes divers,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e70
GIP_INSEE - Aquitaine : Part des actifs 15-24 ans par rapport à la population active des 15-64 ans,50e6dd83-922a-4099-9de1-7f39db9f7131,PIGMA - Part des actifs 15-24 ans / actifs 15-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb8ea577:-58f4
GIP_INSEE - Aquitaine : Part des actifs 55-64 ans par rapport aux actifs de 15-64 ans,c86234e7-d0ab-450a-9b84-de4f193b6a53,PIGMA - Part des actifs 55-64 ans / actifs 15-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb8ea577:-21aa
OCA - Aquitaine: Position théorique du trait de côte du littoral sableux aquitain en 2020 (à dire d'expert),33e5952e-c6ea-4c7a-8bb9-a35ad983d475,OCA - Projection 2020 du trait de côte,FeatureTypeInfoImpl--526cedd4:143d45a8877:66d2
GIP_INSEE - Aquitaine : Part des actifs 25-54 ans par rapport aux actifs de 15-64 ans,555c3378-5d6f-4b35-809b-117b659c29b0,PIGMA - Part des actifs 25-54 ans / actifs 15-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb8ea577:-19e7
BXM - Pistes d'aérodrome issues de la BD TOPO IGN 2007 sur Bordeaux Métropole,b8b77f3d-025f-4641-bc7f-7cb7cc545b24,IGN BD TOPO - Pistes aérodromes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e42
CC_PRAYSSAS - Communauté de Communes de Prayssas : Zonage Plan Local d'Urbanisme (PLU),fe6076ff-be72-4c23-b668-c04cff1ad4eb,CDC Prayssas - Zonage du Plan Local de l'Urbanisme,FeatureTypeInfoImpl-2245790e:1419d9b9955:-248a
04bc362e-4e8b-48f8-888b-451a19af3a98 - Nouvelle-Aquitaine : Surface annuelle forestière incendiée (2006-2014),2bbbecd1-86b0-47b4-b694-0e1c4dfae923,GIP ATGeRi - Surface moyenne annuelle forestière incendiée,FeatureTypeInfoImpl--29686bc1:1502382da06:-3d76
BXM - Espace végétal issu de la BD TOPO IGN 2007 sur Bordeaux Métropole,f4d04ab9-6cf8-47b1-bcfa-d84935d927e2,IGN BD TOPO - PAI espace naturel,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e82
BXM - Lignes des limites des marées issues de la BD TOPO IGN 2007 sur Bordeaux Métropole,5761a4af-83fa-4ab6-88a6-2b251798074a,IGN BD TOPO - Lignes électriques,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e40
BXM - Lignes de rupture de pentes artificielles issues de la BD TOPO IGN 2007 Sur Bordeaux Métropole,6a361bc0-a39f-4f5c-a9fe-ac9b1cd5bf76,IGN BD TOPO - Lignes électriques,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e40
Position du trait de côte 2009 actualisé en 2013 sur le littoral de la Côte Rocheuse,0bb7df7e-f71d-47c9-9810-1aeedacb7198,GeoTransfert - Trait de côte de 2013,FeatureTypeInfoImpl-2245790e:1419c920d26:-50b1
ARS - Aquitaine : Etablissements pour personnes âgées,1fb1f7df-0676-4cc0-ae0c-e307d48b442f,ARS - Etablissements d'hébergement pour personnes agées,FeatureTypeInfoImpl-59b62a1c:15046737959:-5309
GIP_INSEE - Aquitaine : Taux de croissance de la population entre 1968 et 2008,bc95caea-33a0-4132-8926-5c89cf8d54b0,PIGMA - Croissance de la population par commune de 1968 à 2008,FeatureTypeInfoImpl-44687cb7:13615ef08a7:317
ARS - Aquitaine: périmètres de protection éloigné des captages d'eau,bf87f09d-e749-4a63-a842-66476364a03c,ARS - PPE 24 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:14ca
ARS - Aquitaine : périmètres de protection rapproché des captages d'eau,a1429db0-e1df-4176-b759-1583f160d1c3,ARS - PPE 24 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:14ca
ARS - Aquitaine: périmètres de protection immédiat des captages d'eau,8d838358-1264-426a-9a75-fa1f3228d315,ARS - PPE 24 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:14ca
DDT24 - Dordogne : Plan Simple de Gestion forestière,03da8f18-cc6d-4698-b18a-b7ca09526154,DDT 24 - Propriétés couvertes par un Plan Simple de Gestion,FeatureTypeInfoImpl-7a7bae0a:141b772d55a:182e
Plan de prévention des risques naturels - Risque INONDATION - Commune Plan de prévention des risques naturels - Risque INONDATION - Commune Le Passage - Lot-et-garonne : Zones réglementées surfaciques - Lot-et-garonne : Zones réglementées surfaciques,fr-120066022-jdd-5a28ce9b-e6bb-4722-9f70-c557c9fb8524,Commune de Mézin - Zones de glissements,FeatureTypeInfoImpl--3ce68516:141a7dacf99:-218e
Point de prélèvement d'eau pour la production d'eau potable,cb452fe0-09a0-11de-97dd-001517506978,DDTM40 - Point de prélèvement d'eau pour l'irrigation,FeatureTypeInfoImpl--3ace510b:13b99b4389f:-7ffd
RECTORAT - Aquitaine : Etablissements du second degré avec Enquête Parc Immobilier (EPI),d66a7aef-2b1c-4ded-b9c8-ae50fd2dbd85,Rectorat - Etablissements du 2nd degré avec EPI (Novembre 2016),FeatureTypeInfoImpl--7b1f44fd:143069985a2:-1697
RTE - Réseau de Transport d'Electricité - RTE (WMS),7bc344e0-2d86-4e2e-9a69-4fd2c58fa50c,RTE - Support du réseau de transport électrique aérien,FeatureTypeInfoImpl--61be1724:14b3003c04e:-35dc
DDTM33 - Gironde : Couverture des communes par des Plans d'Occupation des Sols (POS), des Plans Locaux d'Urbanisme (PLU) et des Cartes Communales (CC),5875f08b-e51c-4e19-b34f-967ba18ed37d,DDTM 33 - Périmètres des Plans Locaux de l'Habitat,FeatureTypeInfoImpl--2e1400eb:133edec7535:-7e88
DREAL2 - Aquitaine : Résultats statistiques départementaux 2011 d'examen de conduite par type de permis,FR-120066022-MDLOT-14162,DREAL - Centres d'examen des permis de conduire en 2014 en Aquitaine,FeatureTypeInfoImpl-1bfb0579:14dd2b21513:-5bc1
Aquitaine : SRCE - Table contenant la référence des actes administratifs de création, modification, suppression du SRCE en Aquitaine,fr-120066022-jdd-0f068f27-4c98-415b-82d6-545ab05881ba,SRCE  - Autres éléments Région Aquitaine,FeatureTypeInfoImpl--1349261:14310b86ff0:227
EPOC - Littoral aquitain : évolution du trait de côte 2012 - 2013,96c43064-31ea-4f7d-bd95-c5abc598b2ba,GeoTransfert - Evolution du trait de côte entre 2012 et 2013,FeatureTypeInfoImpl-2245790e:1419c920d26:-3af2
EPOC - Littoral aquitain : évolution du trait de côte 2010 - 2012,f3eaaf2c-aee5-48f0-b5ad-cdf5d9a7affb,GeoTransfert - Evolution du trait de côte entre 2010 et 2012,FeatureTypeInfoImpl-2245790e:1419c920d26:-3b08
CC_ESTUAIRE - Communauté de Communes de l'Estuaire : Habitats naturels d'intérêt communautaire de la Zone Spéciale de Conservation (ZSC/Natura 2000),4c4607f6-2b3c-4a02-a3e5-8b0e5a07b857,CDC Estuaire - Habitats d'intérêt communautaire de la ZSC (Zones Spéciales de Conservation),FeatureTypeInfoImpl--60d2bb13:13cb4eacc01:-f00
TIGF - Aquitaine : Postes de sectionnement et Robinets de sécurité,c11b0c91-4081-4d47-ba01-1f781347c383,TIGF - Sectionnement robinets,FeatureTypeInfoImpl-24a8bf94:13846bea89d:-7890
TIGF - Aquitaine : Stations de Compression,fac43944-f55c-4a0f-aca3-0f31e9e1be4e,TIGF - Stations de compression,FeatureTypeInfoImpl-24a8bf94:13846bea89d:-7884
ARS - Aquitaine : Etablissements de santé - Surveillance continue,84b1c206-9c34-4dab-9452-2b52fbfd4400,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
ARS - Aquitaine : Etablissements de santé - Pédiatrie,66668141-2098-4689-b3d0-7990d8993ead,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
TIGF - Aquitaine : Postes de Livraison,f1c40804-31ef-4f0b-a930-78606a03e726,TIGF -  Postes de livraison,FeatureTypeInfoImpl-24a8bf94:13846bea89d:-78ae
CD64 - Positionnement des carrefours entre routes départementales,c3b67754-c625-49a1-86b9-237b814b5607,CG 64 - Routes départementales,FeatureTypeInfoImpl--19dd5131:13b23707cad:-68b6
ARS - Aquitaine : Etablissements de santé - Dialyse,bbf6815e-46ba-46b5-9148-62bfdd5959f3,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
SIRTAQUI2 - Aquitaine : Patrimoine culturel,054bc486-096d-4578-899e-09be60060eaf,SIRTAQUI - Patrimoine Culturel,FeatureTypeInfoImpl--499dd7c8:1505c036c27:-4521
CRA - Aquitaine : Carte des nouveaux cantons suite au redécoupage cantonal pour 2015,49d8a7b9-2b62-40b9-b37c-132d61a2af04,CR Aquitaine - Cantons 2015,FeatureTypeInfoImpl--52fb10a8:14c3174f0bb:-3557
CD24 - Dordogne : arrêts de bus scolaires,2c5120ec-6d19-4c18-b04c-f16090f5b902,CG 24 - Arrêts de bus scolaires,FeatureTypeInfoImpl-3bfe5701:132aac45f9e:-7dda
ARS - Aquitaine : Etablissements de santé - Hospitalisation à domicile,27aa286b-722b-4f24-aef9-ca1153e18041,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
CD24 - Dordogne : Stations d'épuration (STEP),0533221b-2769-4974-82fc-85e33a691c3d,CG 24 - Stations d'épuration,FeatureTypeInfoImpl-91f625d:140546729a4:3b11
FDP33 - Gironde : Contextes piscicoles (PDPG),ca610ff5-fe9a-473f-861a-cc8bd1c2b26c,FD pêche 33 - Contextes piscicoles,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dac
ARS - Aquitaine : Etablissements médico-sociaux,69780582-06e5-4fb1-a226-95b7cb7cc1eb,ARS - Etablissements médico-sociaux,FeatureTypeInfoImpl-f93348d:15143422d5c:35d6
IFN - Dégâts IFN Tempête Martin (1999) en Gironde et en Dordogne,2751fdb9-19b7-410f-8ef2-0459277b1455,IFN - Dégâts,FeatureTypeInfoImpl-5654a656:137a277a2e8:-7e6e
ERDF - Midi-Pyrénées : Poste électrique,b60fe85a-e548-4e1a-9248-fd7105500583,ERDF - Poste électrique,FeatureTypeInfoImpl--433409c9:133c599c9af:-7d0f
SIRTAQUI2 - Aquitaine : Sites naturels,b29e5576-7394-44f7-a940-1c39cbc644ef,SIRTAQUI - Sites naturels,FeatureTypeInfoImpl--499dd7c8:1505c036c27:-44ce
PGB - Pays du Grand Bergeracois : Offices de Tourisme,704f1b23-4d15-4d3a-84f9-57915555a159,Pays du Grand Bergeracois - Offices de tourisme,FeatureTypeInfoImpl--6dc8b695:14931910cfa:5e07
CA33 - Gironde: Marchés de producteurs,50fb2c6a-816c-4868-9b2c-900c82035f6e,Chambre agriculture 33 - Marchés de producteurs,FeatureTypeInfoImpl-5c8f87e1:14407aa6100:175a
EPIDROPT1 - Dordogne et Lot-et-Garonne : arbres instables de la ripisylve du Dropt,7ffc0aea-d486-4194-98de-0ae473620da5,EPIDROPT - Arbres instables Ap,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7ea4
EPIDROPT1 - Dordogne et Lot-et-Garonne : végétation aquatique de la ripisylve du Dropt,e4499455-94b3-4cc9-b0b1-58648369d753,EPIDROPT - Végétation aquatique vaq,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7ea6
ARS - Aquitaine : Etablissements de santé - Pschychiatrie,95d9f844-ecb8-46a7-8738-324d159d64bb,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
ARS - Aquitaine : Etablissements de santé - Soins longue durée,1e550a78-589e-4d29-ad8c-b5f39b9d7a93,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
ARS - Aquitaine : Etablissements de santé - Maternités,ddb9e51b-2f41-48bd-92e8-45a255206c78,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
ARS - Aquitaine : Etablissements de santé - Urgences,2609c993-8c08-4024-b1f9-684e1886435a,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
ARS - Aquitaine : Etablissements de santé - Médecine,9870a5d2-ad3e-4b8d-b8df-c84a8320a7dd,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
GIP_PQA - Nouvelle Aquitaine : périmètres des quartiers prioritaires de la politique de la ville,09e85dd6-c8c0-47d4-9459-4d46694a52a7,GIP PQA - Quartiers prioritaires,FeatureTypeInfoImpl--b4fb97c:15375ef25c4:-6e8c
SIRTAQUI2 - Aquitaine : Activités de loisirs,d02d7c0b-e65e-4863-9158-f2eff1303bf2,SIRTAQUI - Activités de loisirs,FeatureTypeInfoImpl--499dd7c8:1505c036c27:-45ff
DDT_47 - Lot-et-Garonne : Bruit Assiette,76041514-1be8-4194-8112-74a1e0c75037,DDT 47 - Bruit Assiette,FeatureTypeInfoImpl-1bfa188e:149ec3ed113:199e
DDTM40 - Landes : Réseau territorial par communes,2788f14b-b7b3-4517-9278-296a2b5dd3fb,DDTM40 - Réseau territorial,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d8a
CA64 - Pyrénées-Atlantiques : localisation des industries agro-alimentaires,c0ce60ca-7d4c-4f4f-a987-ec5be653b7e4,Chambre agriculture 64 - Industries agro-alimentaires,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dcc
EPIDOR - Bassin versant de la Dordogne : Périmètre de la zone en cours de reconnaissance,1040bf5f-6758-4afa-b645-7cd36f2d5853,EPIDOR - En cours de reconnaissance,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e12
ARS - Aquitaine : Etablissements de santé - Gynécologie Obstétricien,2d972548-5db0-4630-9afd-97b7e4ef053a,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
EPIDOR - Bassin versant de la Dordogne : Sports et loisirs,bada2a6a-e2de-466f-accb-f1adbc648700,EPIDOR - Sports et loisirs,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e10
CA64 - Pyrénées-Atlantiques : Elevages par commune,1973668e-5009-4c07-a7ae-e3a86c3c62db,Chambre agriculture 64 - Elevages par commune,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dca
EPIDOR - Bassin versant de la Dordogne : Habitats industries,8d4f4d9c-9e36-4b47-a6b3-33fe4647eb09,EPIDOR - Habitats industries,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e16
CCM - Communauté de Communes de Montesquieu : Zones d'activités,357dd2e4-42fd-43d9-b6e9-1d5d5f61b6cf,CC Montesquieu - Zones d'activités,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7f1e
GEOLANDES - Landes : campings,035714c2-6569-4589-a8f2-07a819ddb27c,SM Geolandes - Campings des landes,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7dd0
SIRTAQUI2 - Aquitaine : Villages de Vacances,6b5cb51f-850a-4b0b-9961-a34870443fee,SIRTAQUI - Villages de vacances,FeatureTypeInfoImpl--499dd7c8:1505c036c27:-44c1
SIRTAQUI2 - Aquitaine : Hébergements collectifs,06db56e1-6560-4f72-a156-3965868205f8,SIRTAQUI - Hébergements collectifs,FeatureTypeInfoImpl--499dd7c8:1505c036c27:-4564
SIRTAQUI2 - Aquitaine : Équipements et activités de loisirs,63c504b9-72de-4bce-bac9-455789215d8b,SIRTAQUI - Activités de loisirs,FeatureTypeInfoImpl--499dd7c8:1505c036c27:-45ff
CD64 - Bornage de référence des routes départementales,0fe9fab1-1f39-4710-9697-71c1e8437169,CG 64 - Routes départementales,FeatureTypeInfoImpl--19dd5131:13b23707cad:-68b6
ARS - Aquitaine : Etablissements de santé - Chirurgie,5d8ea03c-54ec-4adc-b213-750f85f616b6,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
ARS - Aquitaine : Etablissements de santé - Réanimation,f678e4af-d8a8-48c7-afa6-20d9cb58cc5b,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
ARS - Aquitaine : Etablissements de santé - Soins de suite et de réadaptation (SSR),2f26dbda-e6d6-4568-901c-6e85c35cb983,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
SIRTAQUI2 - Aquitaine : Sites de dégustations,90bfc350-c7b7-4ed9-b453-cf7b92606a7f,SIRTAQUI - Sites de dégustations,FeatureTypeInfoImpl--499dd7c8:1505c036c27:-44d0
CAGRANDDAX - Communauté d'Agglomération du Grand Dax : Transport - réseau Couralin,b909f031-1793-486e-b3cf-de55e15821ad,CA Grand Dax - Réseau Couralin,FeatureTypeInfoImpl--6dc709cf:14d4db704a4:-5426
