GeoNetwork,ID GeoNetwork,BSD,ID BSD
AEC - Aquitaine : Recensement des sites web de pays en 2008,40ceeaf3-5dc5-4fa2-867a-a832125d5ffe,RECENSEMENT SITES WEB DE PAYS EN AQUITAINE 2008,755
DREAL2 - Aquitaine : Centrales thermiques et réseaux de chaleur Consommation de combustibles fossiles dans les réseaux de chaleur,9539f2e0-0def-46ca-821a-0cdbe3c7c2bb,ETALAB : CENTRALES THERMIQUES ET RESEAUX DE CHALEUR COMBUSTIBLES FOSSILES,3494
DREAL2 - Aquitaine : Le parc des automobiles et des camions Voitures particulières et commerciales utilisant une autre énergie,6f86322d-0298-4cf4-a20c-1f0af3a31633,ETALAB : LE PARC DES AUTOMOBILES ET DES CAMIONS VOITURES PARTICULIERE ET COMMERCIALES,3510
Macrofaune benthique des sables intertidaux et des chenaux du Bassin d'Arcachon en 1988,c3bcce3a-33e2-4fdd-b408-4183a8c2dddf,OCA : MACROFAUNE BENTHIQUE DU BASSIN D'ARCACHON EN 1988,2803
Distribution de l'azote inorganique dissous dans le bassin versant de la rivière Ponteil,7c3984da-1913-4872-aa87-93994007aba2,OCA : AZOTE INORGANIQUE DISSOUS : LE BASSIN VERSANT DE LA RIVIERE PONTEIL,2812
DREAL2 - Aquitaine : Les immatriculations de véhicules neufs dans l'année Voitures particulières et commerciales à essence,bdaf85ec-a2a8-4db6-890d-4a48a74301e3,ETALAB : IMMATRICULATIONS DE VEHICULES NEUFS VOITURES A ESSENCE PARTICULIERES COMMERCIALES,3520
DDT24 - Dordogne : Périmètres des surfaces ayant bénéficié d'une aide au nettoyage, reboisement et entretien dans le cadre du Plan Chablis  2007-2009,9561891e-db4a-4be3-a09a-193e6b748960,PLAN CHABLIS : PERIMETRES DES SURFACES AIDEES : NETTOYAGE, REBOISEMENT (2000-2006),2075
INSEE2 - Aquitaine : Statistiques régionales de défaillances d'entreprises - Par date de publication - partie 2 sur 8,cb7eaf84-e239-40ab-86c9-6583a849a573,ETALAB : STAT DEFAILLANCES ENTREPRISES PAR DATE DE PUBLICATION - PARTIE 2 SUR 8,2772
DREAL2 - Aquitaine : Surface des locaux et habitations commencés (source SITADEL, nouvelle série) Surface des logements individuels groupés,46e1d767-9d96-4e62-8d79-d403a13dde6f,ETALAB : SURFACE DE LOCAUX ET HABITATIONS COMMENCES LOGEMENTS INDIVIDUELS,3516
DREAL2 - Aquitaine : Surface des locaux et habitations commencés (source SITADEL, nouvelle série) Surface des logements collectifs,e068cd70-acd3-486d-8f13-4ee45a0f6dd9,ETALAB : SURFACE DE LOCAUX ET HABITATIONS COMMENCES LOGEMENTS COLLECTIFS,3515
Suivi biologique des huîtres sauvages et cultivées sur l’île aux Oiseaux en 2007-2008,d5c009a5-a6af-45da-af0b-f6b91202ea1d,OCA : SUIVI BIOLOGIQUE DES HUITRES SAUVAGES ET CULTIVEES - ILE AUX OISEAUX 2007-2008,2877
Cycles de prélèvement d'eau de 24h au milieu du Bassin d'Arcachon,8818e2b0-f70d-4b84-978e-f823db67af79,OCA : CYCLES DE PRELEVEMENT D'EAU DE 24H AU MILIEU DU BASSIN D'ARCACHON,2878
Macrofaune benthique dans le Bassin d'Arcachon en 1993-1994,782694b4-f13a-40d6-94e3-061e809e231e,OCA : MACROFAUNE BENTHIQUE DANS LE BASSIN D'ARCACHON EN 1993/1994,2895
CASAGEC - Commune de Saint-Jean-de-Luz : Etude sur les digues du mouvement des bloc du talus de protection des ouvrages maritimes,809b6060-fcf2-4be6-84f8-045233bef764,MOUVEMENT BLOC TALUS - ETUDE : DIGUES ST-JEAN-DE-LUZ,2011
AEC - Aquitaine : Recensement des sites web des campings en 2009,96a3097c-4d31-4497-a54e-86b320678ec8,RECENSEMENT SITES WEB DES CAMPINGS EN AQUITAINE 2009,479
AEC - Aquitaine : Recensement des sites web des campings en 2008,4f5eedcc-857a-4a0f-be71-b5f2b70f44f9,RECENSEMENT SITES WEB DES CAMPINGS EN AQUITAINE 2008,753
PAYSHE2M - Modèle du Pays du Haut Entre Deux Mers,52e93b5e-cd42-4ac6-b9ca-5836603ac2dd,PAYS DU HAUT ENTRE DEUX MERS,796
DREAL2 - Aquitaine : Centrales thermiques et réseaux de chaleur Consommation totale d'énergie dans les réseaux de chaleur,bfe0984b-358e-467a-a5c8-f2bd1c9edda9,ETALAB : CENTRALES THERMIQUES ET RESEAUX DE CHALEUR CONSOMMATION TOTALE D'ENERGIE,3493
DREAL2 - Aquitaine : Surface des locaux et habitations commencés (source SITADEL, nouvelle série) Surface totale (SHON) des logements mis en chantier,33d8ec86-2574-44c7-8e54-303c6fdad417,ETALAB : SURFACE DE LOCAUX ET HABITATIONS COMMENCES SURFACE TOTALE LOGEMENT MIS EN CHANTIER,3488
Mesures de réflectance sur les plages océanes du Cap Ferret et sur le Banc d'Arguin,9f5ac4d3-3786-4e90-91d1-b45df7d44964,OCA : MESURES DE REFLECTANCE - PLAGES OCEANES DU CAP FERRET ET BANC D'ARGUIN,2917
Variation de la qualité de la matière organique particulaire dans les premiers centimètres des sédiments du Bassin d'Arcachon (2009),7b2ee475-365e-41c2-bb9c-9caa29a7e3ea,OCA : VARIATION DE LA QUALITE DE LA MATIERE ORGANIQUE PARTICULAIRE DES 1ER  CENTIMETRES DES SEDIMENTS - BASSIN D'ARCACHON 2009,2919
AEC - Aquitaine : Recensement des sites web des mairies en 2009,034498d2-c149-4d66-91d0-b8a3f4397f22,RECENSEMENT SITES WEB DES MAIRIES EN AQUITAINE 2009,450
DREAL2 - Aquitaine : Immatriculations de voitures neuves suivant leurs émissions de CO2 Nombre total de voitures neuves immatriculées,29fac090-4142-425d-aa1d-4099638d6de3,ETALAB : IMMATRICULATIONS DE VOITURES NEUVES SUIVANT EMISSIONS C02 NOMBRE VOITURES NEUVES DIESEL,3486
Identification des sources de contamination fécale dans le Bassin d'Arcachon,416ccf1a-7f9e-4ce6-9e2b-ebaff94ebea1,OCA : IDENTIFICATION DES SOURCES DE CONTAMINATION FECALE - BASSIN D'ARCACHON,2932
DREAL2 - Aquitaine : Le parc des automobiles et des camions Voitures particulières et commerciales électriques,81838a83-52cb-4f54-ab59-3a4d0256f186,ETALAB : LE PARC DES AUTOMOBILES ET DES CAMIONS VOITURES PARTICULIERE ET COMMERCIALES,3510
INSEE2 - Aquitaine : Tableaux démographiques rétrospectifs - Séries trimestrielles - Naissances, mariages, décès enregistrés et domiciliés par région ou regroupement de zones - partie 1 sur 2,b8ee9890-bf47-4df1-9865-9959b85a39aa,ETALAB : NAISSANCES, MARIAGES, DECES ENREGISTRES ET DOMICILIES - PARTIE 1 SUR 2,2754
PAYSHE2M - Pays du Haut Entre Deux Mers : Nombre d'établissements artisanaux et commerciaux à la commune,3543824e-f100-40b1-b0b3-8a60ab7335d7,PAYS DU HAUT ENTRE DEUX MERS,796
UNIV_BDX3 - Cahier des charges pour inventorier les airiaux,8837defa-10b1-4d95-b5e3-30aee72d00db,CAHIER DES CHARGES POUR INVENTORIER LES AIRIAUX,3694
RAUDIN2 - France : Fonds Cartographiques des Ilots IRIS pour chaque département 2008,e29b402b-5825-4219-8fe3-1bf674bf07fc,FONDS CARTOGRAPHIQUES DES ILOTS POUR CHAQUE DEPARTEMENTS,1746
Mesures des flux de CO2 atmosphérique dans le Bassin d'Arcachon,10b3e319-5343-4921-9106-d9607842e8c6,OCA : MESURES DES FLUX DE CO2 - BASSIN D'ARCACHON,2904
RAUDIN2 - France : Fonds Cartographiques de chaque département au niveau communal 2008,95fb28fa-3208-470c-86fe-3a6be252e94e,FONDS CARTOGRAPHIQUES DE CHAQUE DEPARTEMENT AU NIVEAU COMMUNAL,1745
Suivi moléculaire aux stations SOMLIT du Bassin d'Arcachon (2009-2010),185074aa-9a3d-4e5a-994f-5cbfc18e1c8c,OCA : SUIVI MOLECULAIRE AUX STATIONS SOMLIT - BASSIN D'ARCACHON 2009/2010,2913
INRA - Forêt Landaise : Base de données ""physico-chimie des sols forestiers landais"",deed22a0-ef53-45e5-a138-4a4e309f564e,BASE DE DONNEES ""PHYSICO-CHIMIE DES SOLS FORESTIERS LANDAIS"",757
PAYSHE2M - Modèle du Pays du Haut Entre Deux Mers,fedb329d-96e9-4e17-b3ef-6a59cb92cd12,PAYS DU HAUT ENTRE DEUX MERS,796
INSEE2 - Aquitaine : CLAP - Connaissance Locale de l’Appareil Productif en 2009,30b9a3ad-9cac-4b2f-b69f-a135227b9cb8,CLAP - CONNAISSANCE LOCALE DE L’APPAREIL PRODUCTIF,1223
DREAL2 - Aquitaine : Le parc des automobiles et des camions Voitures particulières et commerciales à essence,cacc1080-c156-4ab5-8fcc-e3c7d5120192,ETALAB : LE PARC DES AUTOMOBILES ET DES CAMIONS VOITURES PARTICULIERE ET COMMERCIALES,3510
PREF_AQUITAINE - Dordogne : Taux de fiscalité directe locale et délibérations 2009,bd4c2a9e-bd9b-4d97-92e1-52185abcacf9,ETALAB : TAUX DE FISCALITE DIRECTE LOCALE ET DELIBERATIONS 2009 DORDOGNE,3720
DREAL2 - Aquitaine : Logements du parc locatif social Nombre de logements sociaux en individuel,c1f855de-debd-4bda-a44e-5f7407ca097a,ETALAB : LOGEMENTS DU PARC LOCATIF SOCIAL LOGEMENTS SOCIAUX COLLECTIFS,3525
Photographies de terrain et du paysage du site de la Dispute dans le Bassin d'Arcachon en 2007,e883b11c-2452-4aa1-8b19-f5dec8047064,OCA : PHOTOS DE TERRAIN ET PAYSAGE DU SITE DE LA DISPUTE 2007,2865
Suivi morphodynamique de la plage du Truc Vert,e6615f5c-7c6e-45fd-8c04-520dfb3cf088,OCA : SUIVI MORPHODYNAMIQUE DE LA PLAGE DU TRUC VERT,2945
Communautés microbiennes autotrophes dans le Bassin d'Arcachon: dynamique et production primaire,031f7dea-78b7-4079-9345-4f44bb4440d1,OCA : DYNAMIQUE ET PRODUCTION PRIMAIRE DES COMMUNAUTES MICROBIENNES AUTOTROPHES,2873
INSEE2 - Aquitaine : Statistiques régionales de défaillances d'entreprises - Par date de jugement - partie 2 sur 8,0b990768-0a4a-4cc8-9cf3-94eee44e3fb8,ETALAB : STAT DEFAILLANCES ENTREPRISES PAR DATE DE JUGEMENT - PARTIE 2 SUR 8,2775
ONRN - Coût moyen par commune des sinistres inondation sur la période 1995-2012,aebda4df-9a96-4361-9f1d-8b609fc1b5e2,COUT MOYEN PAR COMMUNE DES SINISTRES INONDATION 1995-2012,4421
ONRN - Coût moyen par commune des sinistres au titre des séismes sur la période 1995-2012,b62ea011-8ecd-49a0-88c5-8ed943cff3d0,COUT MOYEN PAR COMMUNE DES SINISTRES AU TITRE DES MOUVEMENTS DE TERRAIN DIFFERENTIELS 1995-2012,4411
CRALPC - Gironde - Pays du Bassin d’Arcachon et du Val de l’Eyre - 2014,8db3d2e5-8c85-4110-8a20-5fc43a36b483,PAYS DU BASSIN D’ARCACHON ET DU VAL DE L’EYRE - 2014,3841
CRALPC - Landes - Pays Adour Chalosse Tursan - 2014,b09f0783-8fa6-4fcc-a3db-9420d54dba4e,PAYS ADOUR CHALOSSE TURSAN - 2014,3854
CRALPC - Landes - Pays Adour Chalosse Tursan - 2013,47fe874e-0031-4ae3-b698-ccab82103628,PAYS ADOUR CHALOSSE TURSAN - 2013,3853
CRALPC - Gironde - Pays des Graves et Landes de Cernes - 2013,f0c852b9-7e69-480d-aff6-6ae5b5279ff0,PAYS DES GRAVES ET LANDES DE CERNES - 2013,3824
ONRN - Fréquence par commune des sinistres au titre des mouvements sur la période 1995-2012,7e2a80af-33f3-420d-894a-fd1d32887072,COUT MOYEN PAR COMMUNE DES SINISTRES AU TITRE DES MOUVEMENTS DE TERRAIN DIFFERENTIELS 1995-2012,4411
ONRN - Coût moyen des sinistres Tempête-Grêle-Neige des particuliers par département cumulé sur la période 1987 à 2012,d512a391-0c68-4562-acef-9e5f220fd987,COUT MOYEN DES SINISTRES TEMPETE-GRELE-NEIGE DES PARTICULIERS PAR DEPARTEMENT CUMULE 1987 A 2012,4414
UNIV_BDX3 - Hydrographie sur le territoire du PNR des Landes de Gascogne,2adc1895-eb3d-43cf-bfdf-3a1658c4b4ca,HYDROGRAPHIE : TERRITOIRE DU PNR LANDES DE GASCOGNE,3693
EHLG - Pays-Basque : Évolution des données du recensement agricole entre 2000 et 2010,d69ea91d-7297-4d13-a67f-313fbfadbdf6,RECENSEMENT AGRICOLE ENTRE 2000 ET 2010,3755
CRA - Pays du Grand Pau : Inventaire biophysique de l'occupation des sols en 2006,134e6645-b079-47a3-a9d2-aaba38e7ce75,PAYS DU GRAND PAU : INVENTAIRE BIOPHYSIQUE ET OCS 2006,3886
DREAL2 - Aquitaine : Natura 2000 Directive Oiseau et Habitat,235cabd6-bbef-474a-87ae-1bd9f1fbb00c,NATURA 2000 : DIRECTIVE OISEAU ET HABITAT,949
CRALPC - Landes - Pays Adour Chalosse Tursan - 2009,093911b2-5098-4044-871a-bdf538a44412,PAYS ADOUR CHALOSSE TURSAN - 2009,3852
CRALPC - Gironde - Pays du Bassin d’Arcachon et du Val de l’Eyre - 2009,b7a138ee-cabe-4ffa-8c3c-354b59ee4895,PAYS DU BASSIN D’ARCACHON ET DU VAL DE L’EYRE - 2009,3839
CRALPC - Exposition de l'Aquitaine aux risques naturels majeurs - Aléa ""Rupture de barrage"",fdfd74d6-8915-4766-9128-a101a004eadf,RISQUES NATURELS MAJEURS - ALEA ""RUPTURE DE BARRAGE"",3811
IFN - Aquitaine : Bd Ortho Infra-Rouge Couleur 2012,535fdf62-e547-45c5-9f05-77212ab9d45e,BD ORTHO INFRA-ROUGE COULEUR 2012 : AQUITAINE,3743
CRALPC - Landes : Pays Adour Chalosse Tursan - CLC 2006,01e0fde9-48c6-4b57-881c-2ccc36ac12e9,OCS-CLC 2006 : PAYS ADOUR CHALOSSE TURSAN,1375
RECTORAT - Aquitaine : Etablissements du second degré avec Enquête Parc Immobilier (EPI),d66a7aef-2b1c-4ded-b9c8-ae50fd2dbd85,ETABLISSEMENTS SCOLAIRES DU 2ND DEGRE AVEC ENQUETE PARC IMMOBILIER (EPI),2996
SMEAP - Dordogne : Préinventaire des espaces naturels humides dans la vallée moyenne de la Dronne,c145974e-aac8-4ae1-8d70-4a077c269fee,PREINVENTAIRE DES ESPACES NATURELS HUMIDES - VALLEE MOYENNE DE LA DRONNE,3759
ORECCA - Aquitaine : Installations de production d'électricité renouvelable par commune au 1er janvier 2014,e9b49f0e-a1c3-4f18-861c-bc97fa9cf747,INSTALLATIONS DE PRODUCTION D'ELECTRICITE RENOUVELABLE PAR COMMUNE EN 2014,3712
CRALPC - Gironde : Pays des Graves et Landes de Cernes - CLC 2006,5fd567a0-866c-4d66-bf0f-0abd7c14015c,OCS-CLC 2006 : PAYS DES GRAVES ET LANDES DE CERNES,1366
IFN - Aquitaine : Bd Ortho Infra-Rouge Couleur 2009,10b53c50-1688-4ae2-be43-aa721d8423ee,BD ORTHO INFRA-ROUGE COULEUR 2009 : AQUITAINE,3742
PREF_AQUITAINE - Aquitaine : Liste des Immeubles protégés au titre des Monuments Historiques,8fd45a70-d193-4e35-9071-df773ab6a35a,ETALAB : LISTE DES IMMEUBLES PROTEGES AU TITRE DES MONUMENTS HISTORIQUES,2776
IFN - Nouvelle Aquitaine : SCAN 1000® IGN,b1486fc5-b2c4-42f1-a8b1-fb77220deed2,NOUVELLE AQUITAINE : SCAN 1000® IGN,3887
EPOC - Littoral aquitain : Cartographie de l'occupation du sol en domaine dunaire hors zone urbaine,7b2ac195-02a6-4ef9-99e8-13ce7afa2dd1,OCCUPATION DU SOL EN DOMAINE DUNAIRE HORS ZONE URBAINE,3468
CULTURE - Aquitaine : Plan de Sauvegarde et de Mise en Valeur (PSMV),e43591d4-75c4-4dcd-adc1-d67871038c21,PLAN DE SAUVEGARDE ET DE MISE EN VALEUR (PSMV),623
CRA - Littoral Aquitain : Calculs des potentiels technico-économiques : hydrolien (zones potentielles sur la Garonne),cdd2f045-154e-45c5-a779-2e84e92bd93e,ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES : HYDROLIEN (ZONES POTENTIELLES SUR LA DORDOGNE),3155
PAYSHE2M - Pays du Haut Entre Deux Mers : recensement des producteurs réalisant de la vente directe,eac46f52-770a-49e3-98cc-e05eae679e40,PAYS DU HAUT ENTRE DEUX MERS,796
RAUDIN2 - France - Arc Atlantique : Recensement des sites web des caves coopératives AOC 2010,aa35f660-555f-41f9-b3f7-bd3f79693c05,RECENSEMENT DES SITES WEB DES CAVES COOPERATIVES AOC 2010 : FRANCE-ARC ATLANTIQUE,1728
Bassin Adour-Garonne : Périmètre des PLAns de GEstion des POissons MIgrateurs (PLAGEPOMI),fr-120066022-jdd-2f6c41a3-187e-435c-813f-5b43c4a115c3,PERIMETRE PLANS DE GESTION DES POISSONS MIGRATEURS BASSIN ADOUR GARONNE,247
Atlas Aquitaine Limousin Poitou-Charentes : Quartiers prioritaires de la politique de la ville,fr-120066022-jdd-25e4faee-dc88-4899-b8b8-590d64fc0fa2,NOUVELLE AQUITAINE : PERIMETRE DES QUARTIERS PRIORITAIRES DE LA POLITIQUE DE LA VILLE,4304
BXM - Périmètres des sites ayant fait l'objet d'étude(s) de pollution sur Bordeaux Métropole,f4e916ac-0adf-46a9-94ea-8c481c1dc032,PERIMETRES SITES AYANT FAIT L'OBJET D'ETUDE(S) POLLUTION,4175
BXM - Production d'eau chaude sanitaire (ECS) du réseau de chaleur sur Bordeaux Métropole,4d2c0609-75b5-4f82-85e8-56f4a6943fa1,CUB - PRODUCTION EAU CHAUDE SANITAIRE (ECS) RESEAU DE CHALEUR,4213
DREAL2 - Aquitaine : Communes ou parties de communes soumises à la Loi Montagne ""au titre de l'urbanisme"",FR-120066022-MDLOT-13416,COMMUNES SOUMISES LOI MONTAGNE ""AU TITRE DE L'URBANISME"",1183
DREAL2 - Parc National des Pyrénées (PNP) : secteurs administratifs,FR-120066022-MDLOT-13419,PARC NATIONAL DES PYRENEES (PNP) : SECTEURS ADMINISTRATIFS,1190
BXM - Localisation des entreprises soumise à la TPU 2006 sur Bordeaux Métropole,8abb9bd1-26d5-4d21-8e6f-7cc46821f849,LOCALISATION ENTREPRISES SOUMISE A LA TPU 2006,4135
