Cartogip,ID Cartogip,GeoNetwork,ID GeoNetwork
filiere_bois - Itinéraires des bois ronds,931,DRAAF_GIPATGERI - Aquitaine : Itinéraires bois ronds,4ad19438-74c5-41a1-8d68-1f1341f7cf07
insee - Population Iris 2012 surface,1655,INSEE2 - Aquitaine/Limousin/Poitou-Charentes: Bases de chiffres clés - Recensement de la population 2012 - Thème Diplômes - Formation,7f95b948-41fc-4390-b350-971267798e57
telespazio - Masque Résineux Janvier 2015,31,TELESPAZIO - Cartographie forestière des surfaces en résineux en 2015,2f4f2550-0107-45d9-9b4a-989f2c0084af
insee - Population par arrondissements 2007,164,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
socio_economique - Taux de chômage des 15-24 ans,346,GIP_INSEE - Aquitaine : Taux de chômage des 15-24 ans,a14f7aa8-6451-41e7-b215-d92cc9a579b5
socio_economique - Taux de chômage des 15-64 ans,347,GIP_INSEE - Aquitaine : Taux de chômage des 15-64 ans,83d72d24-7994-4cae-88ec-16bdbd2f8b4a
socio_economique - Taux de chômage des 55-64 ans,1039,GIP_INSEE - Aquitaine : Taux de chômage des 55-64 ans,4c26654f-1720-48cc-a295-82af453d20a8
socio_economique - Taux de chômage des 25-54 ans,1046,GIP_INSEE - Aquitaine : Taux de chômage des 25-54 ans,da5e0f1d-a553-40d9-8365-ce0ec5f7c0af
sidpc - Moustique tigre Communes infectées,1874,PREF_33 - Gironde : Communes suivies pour le Moustique Tigre,5c6feed8-1fa2-4a10-b0df-81f421a3c269
socio_economique - Part des chômeurs de 25-54 ans,1037,GIP_INSEE - Aquitaine : Part des chômeurs 25-54 ans par rapport aux chomeurs 15-64ans,574a6d84-1f44-465b-b4f9-8738d9e9eaa8
ddtm47 - Etablissements scolaires du premier degré,1052,RECTORAT - Aquitaine : Etablissements du premier degré (publics et privés),257a6dee-1f23-4de0-9fac-f54dd8a08189
insee - Population par intercommunalités 2007,479,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
carmen - Zone d'intérêt écologique (Znieff 2),1215,Diversité procaryote de flores d'intérêt écologique en zone benthique côtière,ada28404-5d09-46c6-9b63-49fd2afd620c
carmen - Zone d'intérêt écologique (Znieff 1),1216,Diversité procaryote de flores d'intérêt écologique en zone benthique côtière,ada28404-5d09-46c6-9b63-49fd2afd620c
erdf - Poste de transformation RTE - ERDF,1159,ERDF - Midi-Pyrénées : Poste électrique,b60fe85a-e548-4e1a-9248-fd7105500583
ocs - Evolution de la surface F entre 2000 et 2009,123,NAFU - Aquitaine : Suivi de l'occupation du sol NAFU (Naturel, Agricole, Forêts,Urbanisés) par commune entre 2000 et 2009,6b6b1428-8350-4bbe-adb3-ab2047132098
ocs - Evolution de la surface N entre 2000 et 2009,325,NAFU - Aquitaine : Suivi de l'occupation du sol NAFU (Naturel, Agricole, Forêts,Urbanisés) par commune entre 2000 et 2009,6b6b1428-8350-4bbe-adb3-ab2047132098
ocs - Evolution de la surface A entre 2000 et 2009,326,NAFU - Aquitaine : Suivi de l'occupation du sol NAFU (Naturel, Agricole, Forêts,Urbanisés) par commune entre 2000 et 2009,6b6b1428-8350-4bbe-adb3-ab2047132098
ocs - Evolution de la surface U entre 2000 et 2009,328,NAFU - Aquitaine : Suivi de l'occupation du sol NAFU (Naturel, Agricole, Forêts,Urbanisés) par commune entre 2000 et 2009,6b6b1428-8350-4bbe-adb3-ab2047132098
Reserves nationales de chasse et faune sauvage,370,CHASSE33 - Gironde: Réserve de chasse et de faune sauvage,8fc25975-b535-4fb7-8691-f323dd8f8fd1
socio_economique - Part des chômeurs de 55-64 ans (15-64),1036,GIP_INSEE - Aquitaine : Part des chômeurs de 55-64 ans,2e72b06d-4baf-48da-a6c8-ed58de9e6000
wms_externe - ONF : Parcelles Forestières (régime forestier),1801,ONF - Aquitaine : Parcelles forestières publiques,14f71950-dfc4-4a61-bd9e-66d4e53f9016
rectorat - Etablissements scolaires du 2nd degré (rectorat),110,RECTORAT - Aquitaine : Etablissements du second degré avec Enquête Parc Immobilier (EPI),d66a7aef-2b1c-4ded-b9c8-ae50fd2dbd85
patrimoine_culturel - Périmètre de protection des monuments historiques (500 m),167,CULTURE - Aquitaine : Périmètres de protection des monuments historiques (500m),e010f753-5ecd-408e-9a0a-8f021c24b355
rectorat - Etablissements scolaires du 1er degré (rectorat),441,RECTORAT - Aquitaine : Etablissements du second degré avec Enquête Parc Immobilier (EPI),d66a7aef-2b1c-4ded-b9c8-ae50fd2dbd85
wms_externe - Aléa mouvement de terrain - Couche de synthèse,1281,Aléa Mouvement de terrain sur le secteur de Socoa à l'horizon 2040,E2_Alea_MVT_Socoa_2040_2009
ocs - Surfaces consommées des espaces F entre 2000 et 2009,345,NAFU - Aquitaine : Carte représentant les surfaces autorisées au défrichement par hectare boisé entre 2000 et 2014,e1270293-cde9-4993-9536-4fa945814a2a
ocs - Surfaces consommées par les espaces U entre 2000 et 2009,492,NAFU - Aquitaine : Carte représentant les surfaces autorisées au défrichement par hectare boisé entre 2000 et 2014,e1270293-cde9-4993-9536-4fa945814a2a
insee - Taux de croissance de la population entre 1962 et 2007,733,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
statistiques - Nombre de points d'accès public à Internet,859,RAUDIN2 - Aquitaine : Enquête sur les Points d'Accès Publics à Internet - 2009/2010,c86fa06a-07bb-404e-8908-0e66a943a2e0
cadastre - Parcelles,106,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1812 - parcelles,847cbe02-a312-489b-94c0-26f0a6fd73b3
insee - Population,170,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
cadastre - Bati,210,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1853 - bati,1abc6841-b241-44b8-9962-cf97634f23c9
insee - Population iris 2007,307,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
telespazio - Foyers de mortalités 2010,385,TELESPAZIO - Cartographie des foyers de mortalités de pin maritime,867dc82b-c145-475a-921e-48985a0580fc
insee - Population iris 2012,1651,INSEE2 - Aquitaine/Limousin/Poitou-Charentes: Bases de chiffres clés - Recensement de la population 2012 - Thème Diplômes - Formation,7f95b948-41fc-4390-b350-971267798e57
ddpp - Cuisines centrales agréées,1829,DDCSPP - Lot-et-Garonne : cuisines centrales agréées,750850ef-a7fa-40f1-a8d3-84cd6f9a4ba9
insee - Population 2008 (DGF),182,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
carmen - Parcs naturels régionaux,261,IGECOM - Landes : Parcs Naturels Régionaux,metadonnee_parc_regional
tigf - Postes de livraison (TIGF),437,TIGF - Aquitaine : Postes de Livraison,f1c40804-31ef-4f0b-a930-78606a03e726
carmen - Parcs naturels régionaux,706,IGECOM - Landes : Parcs Naturels Régionaux,metadonnee_parc_regional
carmen - Parc national des Pyrénées,1237,Aquitaine : Parc National des Pyrénées (PNP) : zone centrale, zone d'adhésion et zone périphérique,fr-120066022-jdd-558d492a-9213-4edd-915a-6b53262c7842
carmen - Réserves naturelles nationales,1332,CD47 - Lot-et-Garonne : Réserves Naturelles Nationales (RNN),97bac11b-551f-421b-b5ce-61fd8b2d7995
raster - Scan 25 Aquitaine,1576,IFN - Aquitaine : SCAN Express 25,IGNF_SCANExpress25_1-0.xml
insee - Population legales 2008 dgf,105,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
insee - Population par commune 2007,222,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
insee - Population par cantons 2008,426,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
pompier - Point d'eau naturel,898,DDTM40 - Landes : Point de prélèvement d'eau au milieu naturel effectué pour l'irrigation,41b85d47-5a21-4ae1-9860-0b9a3bd4ed0d
insee - Population legales 2008 dgf,1335,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
pompier - Points d'eau naturels,1981,LOGOSDIS241 - Dordogne : Répartition des points d'eau naturels,ea28338c-f99d-488f-994c-6fa47d7275cd
dreal - Communes classées en Loi Littoral,252,DREAL2 - Aquitaine : Communes soumises à la Loi Littoral,FR-120066022-MDLOT-3800
ars - Services de soins de longue durée,831,ARS - Aquitaine : Etablissements de santé - Soins longue durée,1e550a78-589e-4d29-ad8c-b5f39b9d7a93
ars - Services de soins de suite et de réadaptation,832,ARS - Aquitaine : Etablissements de santé - Soins de suite et de réadaptation (SSR),2f26dbda-e6d6-4568-901c-6e85c35cb983
Directive Habitats - Natura 2000,907,DREAL2 - Aquitaine : Natura 2000 Directive Oiseau et Habitat,235cabd6-bbef-474a-87ae-1bd9f1fbb00c
onf - ONF : contours des Parcelles Forestières,1784,ONF - Aquitaine : Parcelles forestières publiques,14f71950-dfc4-4a61-bd9e-66d4e53f9016
cadastre - Lim. Communales - IGN - BD Parcellaire,478,RGE BD PARCELLAIRE ® IGN de 2011,3236a884-e292-2904-bd36-b18a469ea613
ddtm47 - Périmètres de protection des captages AEP,495,SMEGREG - - Les périmètres de protection des captages d'eau destinée à la consommation humaine,4b5aa3d4-8e98-4a8f-9288-1bfe1475415e
wms_externe - Agence Adour Garonne,884,SMEGREG - AGENCE DE L'EAU ADOUR-GARONNE - Revue de l'Agence de l'Eau Adour Garonne,3bd6a328-1035-4964-8d1b-13938d716640
wms_externe - Agence Adour Garonne,1217,SMEGREG - AGENCE DE L'EAU ADOUR-GARONNE - Revue de l'Agence de l'Eau Adour Garonne,3bd6a328-1035-4964-8d1b-13938d716640
insee - Population Iris 2012 cercle,1639,INSEE2 - Aquitaine/Limousin/Poitou-Charentes: Bases de chiffres clés - Recensement de la population 2012 - Thème Diplômes - Formation,7f95b948-41fc-4390-b350-971267798e57
raster - BD ORTHO 2015 25cm,1717,IFN - BD ORTHO IRC 50CM 2015 : PYRENEES-ATLANTIQUES,IGNF_BDORTHOr_2-0_JP2-E100_LAMB93_D64-2015.xml
insee - Population par départements 2008,375,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
filiere_bois - Itinéraires des bois ronds,931,DRAAF_GIPATGERI - Aquitaine : Itinéraires bois ronds,4ad19438-74c5-41a1-8d68-1f1341f7cf07
insee - Population Iris 2012 surface,1655,INSEE2 - Aquitaine/Limousin/Poitou-Charentes: Bases de chiffres clés - Recensement de la population 2012 - Thème Diplômes - Formation,7f95b948-41fc-4390-b350-971267798e57
telespazio - Masque Résineux Janvier 2015,31,TELESPAZIO - Cartographie forestière des surfaces en résineux en 2015,2f4f2550-0107-45d9-9b4a-989f2c0084af
insee - Population par arrondissements 2007,164,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
socio_economique - Taux de chômage des 15-24 ans,346,GIP_INSEE - Aquitaine : Taux de chômage des 15-24 ans,a14f7aa8-6451-41e7-b215-d92cc9a579b5
socio_economique - Taux de chômage des 15-64 ans,347,GIP_INSEE - Aquitaine : Taux de chômage des 15-64 ans,83d72d24-7994-4cae-88ec-16bdbd2f8b4a
socio_economique - Taux de chômage des 55-64 ans,1039,GIP_INSEE - Aquitaine : Taux de chômage des 55-64 ans,4c26654f-1720-48cc-a295-82af453d20a8
socio_economique - Taux de chômage des 25-54 ans,1046,GIP_INSEE - Aquitaine : Taux de chômage des 25-54 ans,da5e0f1d-a553-40d9-8365-ce0ec5f7c0af
sidpc - Moustique tigre Communes infectées,1874,PREF_33 - Gironde : Communes suivies pour le Moustique Tigre,5c6feed8-1fa2-4a10-b0df-81f421a3c269
socio_economique - Part des chômeurs de 25-54 ans,1037,GIP_INSEE - Aquitaine : Part des chômeurs 25-54 ans par rapport aux chomeurs 15-64ans,574a6d84-1f44-465b-b4f9-8738d9e9eaa8
ddtm47 - Etablissements scolaires du premier degré,1052,RECTORAT - Aquitaine : Etablissements du premier degré (publics et privés),257a6dee-1f23-4de0-9fac-f54dd8a08189
insee - Population par intercommunalités 2007,479,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
carmen - Zone d'intérêt écologique (Znieff 2),1215,Diversité procaryote de flores d'intérêt écologique en zone benthique côtière,ada28404-5d09-46c6-9b63-49fd2afd620c
carmen - Zone d'intérêt écologique (Znieff 1),1216,Diversité procaryote de flores d'intérêt écologique en zone benthique côtière,ada28404-5d09-46c6-9b63-49fd2afd620c
erdf - Poste de transformation RTE - ERDF,1159,ERDF - Midi-Pyrénées : Poste électrique,b60fe85a-e548-4e1a-9248-fd7105500583
ocs - Evolution de la surface F entre 2000 et 2009,123,NAFU - Aquitaine : Suivi de l'occupation du sol NAFU (Naturel, Agricole, Forêts,Urbanisés) par commune entre 2000 et 2009,6b6b1428-8350-4bbe-adb3-ab2047132098
ocs - Evolution de la surface N entre 2000 et 2009,325,NAFU - Aquitaine : Suivi de l'occupation du sol NAFU (Naturel, Agricole, Forêts,Urbanisés) par commune entre 2000 et 2009,6b6b1428-8350-4bbe-adb3-ab2047132098
ocs - Evolution de la surface A entre 2000 et 2009,326,NAFU - Aquitaine : Suivi de l'occupation du sol NAFU (Naturel, Agricole, Forêts,Urbanisés) par commune entre 2000 et 2009,6b6b1428-8350-4bbe-adb3-ab2047132098
ocs - Evolution de la surface U entre 2000 et 2009,328,NAFU - Aquitaine : Suivi de l'occupation du sol NAFU (Naturel, Agricole, Forêts,Urbanisés) par commune entre 2000 et 2009,6b6b1428-8350-4bbe-adb3-ab2047132098
Reserves nationales de chasse et faune sauvage,370,CHASSE33 - Gironde: Réserve de chasse et de faune sauvage,8fc25975-b535-4fb7-8691-f323dd8f8fd1
socio_economique - Part des chômeurs de 55-64 ans (15-64),1036,GIP_INSEE - Aquitaine : Part des chômeurs de 55-64 ans,2e72b06d-4baf-48da-a6c8-ed58de9e6000
wms_externe - ONF : Parcelles Forestières (régime forestier),1801,ONF - Aquitaine : Parcelles forestières publiques,14f71950-dfc4-4a61-bd9e-66d4e53f9016
rectorat - Etablissements scolaires du 2nd degré (rectorat),110,RECTORAT - Aquitaine : Etablissements du second degré avec Enquête Parc Immobilier (EPI),d66a7aef-2b1c-4ded-b9c8-ae50fd2dbd85
patrimoine_culturel - Périmètre de protection des monuments historiques (500 m),167,CULTURE - Aquitaine : Périmètres de protection des monuments historiques (500m),e010f753-5ecd-408e-9a0a-8f021c24b355
rectorat - Etablissements scolaires du 1er degré (rectorat),441,RECTORAT - Aquitaine : Etablissements du second degré avec Enquête Parc Immobilier (EPI),d66a7aef-2b1c-4ded-b9c8-ae50fd2dbd85
wms_externe - Aléa mouvement de terrain - Couche de synthèse,1281,Aléa Mouvement de terrain sur le secteur de Socoa à l'horizon 2040,E2_Alea_MVT_Socoa_2040_2009
ocs - Surfaces consommées des espaces F entre 2000 et 2009,345,NAFU - Aquitaine : Carte représentant les surfaces autorisées au défrichement par hectare boisé entre 2000 et 2014,e1270293-cde9-4993-9536-4fa945814a2a
ocs - Surfaces consommées par les espaces U entre 2000 et 2009,492,NAFU - Aquitaine : Carte représentant les surfaces autorisées au défrichement par hectare boisé entre 2000 et 2014,e1270293-cde9-4993-9536-4fa945814a2a
insee - Taux de croissance de la population entre 1962 et 2007,733,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
statistiques - Nombre de points d'accès public à Internet,859,RAUDIN2 - Aquitaine : Enquête sur les Points d'Accès Publics à Internet - 2009/2010,c86fa06a-07bb-404e-8908-0e66a943a2e0
cadastre - Parcelles,106,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1812 - parcelles,847cbe02-a312-489b-94c0-26f0a6fd73b3
insee - Population,170,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
cadastre - Bati,210,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1853 - bati,1abc6841-b241-44b8-9962-cf97634f23c9
cadastre - Bati,210,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1853 - bati,1abc6841-b241-44b8-9962-cf97634f23c9
eau - Réservoirs biologiques,372,Réservoirs biologiques SDAGE 2016-2021,6717ebf5-5fc8-45bc-90af-25c853691e53
eau - Lagunes Landes,423,PARC4 - PNR Landes de Gascogne : Habitats naturels de l'ENS ""Domaine d'Hostens et Lagunes du Gât-Mort"",2e7af7a6-5bcc-4d7c-911c-f721a291d288
eau - BD Carthage - Autres,447,BD Carthage,a1249f14-0c2d-0f54-01b3-c6fa698187c6
ZNIEFF 1,544,DREAL2 - Aquitaine : Inventaire des ZNIEFF - Type 1 et Type 2 (Zones Naturelles d'Intérêt Ecologique Faunistique et Floristique),FR-120066022-MDLOT-3777
eau - BD Carthage - permanents,708,BD Carthage,a1249f14-0c2d-0f54-01b3-c6fa698187c6
Zonages des Landes,800,Cartes de bruit sur les routes départementales : Zonages dont le niveau sonore (nuit) &gt; 62 décibels dans le département des Landes,fr-120066022-jdd-110adfc2-18d2-4fcc-aabc-75862384d178
eau - Cours eau réservés,915,Cours d'eau classés et réservés au titre de l'article L432-6 du Code de l'environnement en Corrèze (obsolète),fr-120066022-jdd-a7cd537d-f0b3-4c36-8b43-cff7f890936c
eau - BD Carthage - Intermittent,1061,BD Carthage,a1249f14-0c2d-0f54-01b3-c6fa698187c6
PLAN IGN,1141,IGECOM - Landes : Plan de ville IGN 2014 (FranceRaster®),meta_france_raster
cadastre - Parcelles,1212,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1812 - parcelles,847cbe02-a312-489b-94c0-26f0a6fd73b3
Limites des marées,1232,BXM - Lignes des limites des marées issues de la BD TOPO IGN 2007 sur Bordeaux Métropole,5761a4af-83fa-4ab6-88a6-2b251798074a
cadastre - Bati,1339,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1853 - bati,1abc6841-b241-44b8-9962-cf97634f23c9
cub - Stations VCUB,1549,BXM - Disponibilité des stations VCUB en temps réel sur Bordeaux Métropole,b24457cb-34b2-4971-936f-126e102ac51d
cub - Parcs relais,1550,BXM - Parcs relais du réseau de transports urbains sur Bordeaux métropole,93140cdc-ccef-4415-8e57-5c614d03aaf5
rff - Points kilométriques,1601,LOGOSDIS401 - Landes : Positionnement des points kilométriques férrés,c4a5ba30-add3-41a9-9b81-312fbf67a6c3
ZNIEFF 2,1753,IGECOM - Landes : Programme de Modernisation des ZNIEFF 2,metadonnee_znieff2
cadastre - Parcelles,1912,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1812 - parcelles,847cbe02-a312-489b-94c0-26f0a6fd73b3
cadastre - Bati,1914,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1853 - bati,1abc6841-b241-44b8-9962-cf97634f23c9
atlas - Atlas A3,950,SMEGREG - BRGM - Projet AZENA Atlas des Zones er enjeux aval du SAGE nappes profondes de Gironde,97a02b53-956d-4ab9-9770-069c4e2a2ce4
telespazio - Z3 mortalités,1420,TELESPAZIO - Cartographie des foyers de mortalités de pin maritime,867dc82b-c145-475a-921e-48985a0580fc
telespazio - Z2 mortalités,1525,TELESPAZIO - Cartographie des foyers de mortalités de pin maritime,867dc82b-c145-475a-921e-48985a0580fc
onf - ONF - Peuplements classés,932,Peuplements classés graines et plants en Aquitaine 2015 (TAB),fr-120066022-jdd-7bc7bcd3-49dc-4760-9b04-f6581021f07f
onf - ONF : Unités de gestion,1789,SMEGREG - BRGM - Cartographie unités gestion qualité eaux continentales Gironde,8c3f4db6-93f7-4280-9acf-80eb936ea28e
geofla - Cantons Nouvelle Aquitaine,1858,GIP - Aquitaine : Cantons,7fe0d951-84d8-4895-b776-2f7055338083
ifn - Dégâts IFN 1999,237,IFN - Massif landais : dégâts de tempête de janvier 2009,09c9893d-06db-4fdd-8ef8-00c3e9854488
eau - Très petite masse d'eau,547,Masse d'eau Plan d'eau,03cc00cd-5de6-4d4c-a4bc-5a0080a8584e
Scan 1000 IGN,583,IFN - Nouvelle Aquitaine : SCAN 1000® EXPRESS IGN,73e59044-b3ff-4db3-b57b-6b3a33d09352
eau - Grande masse d'eau,914,Masse d'eau Plan d'eau,03cc00cd-5de6-4d4c-a4bc-5a0080a8584e
eau - Cours eau tres bon etat,1059,Cours d'eau en très bon Etat LEMA SDAGE 2010-2015,ecb66510-ebe8-11de-8442-001517506977
sdis - Points eau naturels,1248,LOGOSDIS241 - Dordogne : Répartition des points d'eau naturels,ea28338c-f99d-488f-994c-6fa47d7275cd
Mouvements de terrain BRGM,1741,DDT_47 - Lot-et-Garonne : PPR Mouvements de terrain,0fc0437c-23a6-41dd-9634-c2b5356f1714
telespazio - Z0-Z1 mortalités,13,TELESPAZIO - Cartographie des foyers de mortalités de pin maritime,867dc82b-c145-475a-921e-48985a0580fc
telespazio - Z0-Z1 mortalités,26,TELESPAZIO - Cartographie des foyers de mortalités de pin maritime,867dc82b-c145-475a-921e-48985a0580fc
Etab. Enfants handicapés,191,ARS - Aquitaine : Etablissements pour enfants handicapés,c0f97ef2-1e0a-4075-a584-80b4c29628a9
Parc naturel marin,368,ENSAP - TPFE - Centre d'information du parc naturel régional des landes de Gascogne,1e8ca10e-de44-4438-a436-1c8eb2217ace
Réserves naturelles de Corse,522,CD47 - Lot-et-Garonne : Réserves Naturelles Nationales (RNN),97bac11b-551f-421b-b5ce-61fd8b2d7995
cadastre - Parcelles MAJIC,724,AUSONIUS - Commune de Langoiran : Cadastre ancien de 1812 - parcelles,847cbe02-a312-489b-94c0-26f0a6fd73b3
atlas - Carroyage 400m,920,GIP - Dordogne : Carroyage 400m,c9bb2d71-24b2-424d-a4e4-7770c25d64e3
sdis40 - Sdis40 - Prise Eau,1146,LOGOSDIS401 - Landes : Positionnement des points kilométriques férrés,c4a5ba30-add3-41a9-9b81-312fbf67a6c3
bdtopo - Cours d'eau,1187,Masse d'eau cours d'eau,dc774211-1494-4a6a-aad2-b4289a7b7101
ars - Captages AEP (ARS),1638,SMEGREG - Agencessde l'Eau  - Bilan et analyse de la mise en œuvre des périmètre de protection des captages AEP en milieu karstique,2d1dc2dd-a2ed-4262-8ea1-8ec08d6f6744
