BSD,ID BSD,GeoServer,ID GeoServer
ETABLISSEMENTS POUR PERSONNES AGEES,1298,ARS - Etablissements d'hébergement pour personnes agées,FeatureTypeInfoImpl-59b62a1c:15046737959:-5309
PLH - PLAN LOCAL DE L'HABITAT,1323,CA Cote Basque Adour - Plan Local de l'Habitat,FeatureTypeInfoImpl-2245790e:1419d4dc311:-4b0e
RECENSEMENT POP 2009 - IRIS - THEME POPULATION,2786,PIGMA - Population iris 2009,FeatureTypeInfoImpl-186890ab:15a3cd2d1e6:-352c
LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128,IGN BD TOPO - Gares,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e3a
LIGNE RUPTURE DE PENTE ARTIFICIELLE BD TOPO IGN 2007,4129,IGN BD TOPO - Gares,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e3a
EMISSIONS DE GES - SCOPES 1,3360,Emissions des Scopes 1 et 2 en 2012,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-593a
ASSOCIATION FRANCAISE  DES EPTB : AIRE D'INTERVENTION,767,EPIDOR - Aire d'intervention des EPTB,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e0c
TRACES SORTIES GRAND PUBLIC,773,PNR LG - Tracés des sorties grand public,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-655a
ETABLISSEMENTS POUR ENFANTS HANDICAPEES,1299,ARS - Etablissements pour enfants handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-45a4
BD TOPO : PISTES D'AERODROME,1822,IGN BD TOPO - Pistes aérodromes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e42
ETABLISSEMENTS POUR ADULTES HANDICAPEES,2025,ARS - Etablissements pour adultes handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-4f4b
PCS - PLAN COMMUNAL DE SAUVEGARDE,3597,DREAL - Plan Communal de Sauvegarde (PCS),FeatureTypeInfoImpl--4ecb909f:15ab89c71c9:-61ca
QUARTIERS PRIORITAIRES EN AQUITAINE DES QUARTIERS FRAGILES EN SITUATIONS DIVERSES,4338,GIP PQA - Quartiers prioritaires,FeatureTypeInfoImpl--b4fb97c:15375ef25c4:-6e8c
ZONE ARBOREE BD TOPO,68,IGN BD TOPO - PAI zone habitation,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e7e
INSTALLATIONS PRODUCTION ELEC - SOLAIRE PV,3369,Installations de production solaire photovoltaïque en 2014,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-5067
LOTS DISPONIBLES DES ZONES D ACTIVITES,685,AURBA - Lots disponibles des zones d'activités,FeatureTypeInfoImpl-510f4e81:13c906090df:-7ffa
GRUE CENDREE : ZONES GAGNAGE,771,PNR LG -  Zones de Gagnage de la Grue Cendrée,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-63da
BD TOPO : T. RESEAU DE TRANSPORT D'ENERGIE,1053,IGN BD TOPO - PAI transport,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e76
BD TOPO : T. VEGETATION ET OROGRAPHIE,1058,IGN BD TOPO - PAI orographie,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e8a
ZONE DE REVITALISATION RURALE 1996,1550,DDTM40 - Zones de revitalisation rurale 1996,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d82
BD TOPO : OUVRAGE DIVERS,1818,IGN BD TOPO - Toponymes divers,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e70
TRAIT DE COTE : COMPARAISON 2010-2012,3267,GeoTransfert - Comparaison trait de côte de 2010-2012,FeatureTypeInfoImpl-2245790e:1419c920d26:-5099
TRAIT DE COTE : COMPARAISON 2012-2013,3268,GeoTransfert - Comparaison trait de côte de 2012-2013,FeatureTypeInfoImpl-2245790e:1419c920d26:-3b23
BD ORTHO PRE-TEMPETE 10M : AQUITAINE,816,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
BD ORTHO PRE-TEMPETE 5M : AQUITAINE,817,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
BD ORTHO POST-TEMPETE 40CM : AQUITAINE,830,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
BD ORTHO PRE-TEMPETE 50CM : AQUITAINE,836,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
BD ORTHO 50CM 1998-2002 : AQUITAINE,1253,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
BD ORTHO 50CM 2002-2004 : AQUITAINE,1259,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
BD ORTHO 50CM 2004-2008 : AQUITAINE,1260,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
BD CARTHAGE : COURS D'EAU,1486,IGN BD TOPO - Troncons cours d'eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e62
BD ORTHO INFRA-ROUGE COULEUR : AQUITAINE,1707,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
BD ORTHO NIVEAU DE GRIS : AQUITAINE,1709,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
BD TOPO : CONSTRUCTION LINEAIRE,1786,IGN BD TOPO - Construction ponctuelle,FeatureTypeInfoImpl--3a85bcf:132cf3d3d67:-7b07
ORTHO ÉTÉ 2012 10CM : COULEUR,3539,MEDDE - Ortho littorale V2 couleur 2012,CoverageInfoImpl--33872947:13d57644f6f:4228
ORTHO ÉTÉ 2012 10CM : IRC,3540,MEDDE - Ortho littorale V2 IRC 2012,CoverageInfoImpl--33872947:13d58ed80b2:-21ec
NOUVELLE AQUITAINE : SCAN 1000® IGN,3887,IGN - Communes Nouvelle Aquitaine,FeatureTypeInfoImpl--1bed10f1:14f885c2c3f:-50e6
ELEVAGES OVINS OU/ET CAPRINS LAITIERS OU MIXTES,4308,DDCSPP 47 - Elevages ovins et caprins,FeatureTypeInfoImpl-48337e3e:150c7ccc759:3057
ELEVAGES OVINS ET/OU CAPRINS VIANDE,4309,DDCSPP 47 - Elevages ovins et caprins,FeatureTypeInfoImpl-48337e3e:150c7ccc759:3057
BD TOPO : T. PONTS D'ACTIVITE OU D'INTERETS (PAI) ET TOPONYMES DE LIEUX DITS,1057,IGN BD TOPO - Toponymes divers,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e70
PART DES ACTIFS 15-24 ANS DS POP DES 15-24 ANS,2046,PIGMA - Part des actifs 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:-6671
PART DES ACTIFS 25-54 ANS DS POP DES 25-54 ANS,2047,PIGMA - Part des actifs 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:4bd3
PART DES ACTIFS 55-64 ANS DS POP DES 55-64 ANS,2048,PIGMA - Part des actifs 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:5a6d
PART DES ACTIFS OCCUPES DE 15-24 ANS,2052,PIGMA - Part des actifs 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:-6671
PART DES ACTIFS OCCUPES DE 25-54 ANS,2053,PIGMA - Part des actifs 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:4bd3
PART DES ACTIFS OCCUPES DE 55-64 ANS,2054,PIGMA - Part des actifs 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:5a6d
ETALAB : LOGEMENTS DU PARC LOCATIF SOCIAL LOGEMENTS SOCIAUX COLLECTIFS,3525,DREAL - Logements sociaux 2014 - Loi,FeatureTypeInfoImpl--126beca8:15433db0a2f:6410
ETALAB : LOGEMENTS DU PARC LOCATIF SOCIAL LOGEMENTS SOCIAUX INDIVIDUELS,3534,DREAL - Logements sociaux 2014 - Loi,FeatureTypeInfoImpl--126beca8:15433db0a2f:6410
INSTALLATIONS DE PRODUCTION D'ELECTRICITE RENOUVELABLE PAR COMMUNE EN 2014,3712,Installations de production hydraulique en 2014,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-56a6
STATION DE MESURE DE BOUCHON VASEUX,435,SMEAG -  Station de suivi du bouchon vaseux à Portets (33),FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7fb2
CENTRES D'EXAMENS PERMIS DE CONDUIRE,1117,DREAL - Centres d'examen des permis de conduire en 2014 en Aquitaine,FeatureTypeInfoImpl-1bfb0579:14dd2b21513:-5bc1
CARTOGRAPHIE ZONES HUMIDES EFFECTIVES,4292,SMBV des Lacs du Born - Zones humides effectives,FeatureTypeInfoImpl-6b25b570:152f4e8a74b:-388a
ASSAINISSEMENT COLLECTIF : CANALISATION DE BRANCHEMENT,1704,SIAEP LALINDE - Canalisation assainissement collectif,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-52db
ASSAINISSEMENT COLLECTIF - OLORON : REGARD EU SOGREAH,2088,SIAEP LALINDE - Regard assainissement collectif,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4daf
ASSAINISSEMENT COLLECTIF - OLORON : REGARD EP SOGREAH,2089,SIAEP LALINDE - Regard assainissement collectif,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4daf
ASSAINISSEMENT COLLECTIF - OLORON : REGARD UN SOGREAH,2090,SIAEP LALINDE - Regard assainissement collectif,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4daf
SRCE / TRAME BLEUE : AXE MIGRATEUR,2651,SRCE - EF Obstacles sur les cours d'eau de la Trame bleue,FeatureTypeInfoImpl--1349261:1431092c4c4:6d3f
OCA : MESURES DE REFLECTANCE SUR LA COULEUR DE L'EAU - BASSIN D'ARCACHON,2946,Vue aérienne Couleur de 2012 du Bassin d'Arcachon,CoverageInfoImpl-3dad044:1455f931d07:-4df3
BD TOPO : PISTES CYCLABLES (33),3729,IGN BD TOPO - Pistes aérodromes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e42
PERIMETRE DE PROTECTION DES MONUMENTS HISTORIQUES,159,DRAC - Périmètres de protection des monuments historiques (500m),FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f63
COMMUNES CONCERNEES PAR RISQUE INONDATION,1155,DREAL - Communes soumises au risque Inondation,FeatureTypeInfoImpl--25674c34:158e41464a2:-61e
PART CHOMEURS 15-24 ANS / 15-64 ANS,2036,PIGMA - Part des actifs 15-24 ans / actifs 15-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb8ea577:-58f4
PART CHOMEURS 25-54 ANS / 15-64 ANS,2039,PIGMA - Part des actifs 25-54 ans / actifs 15-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb8ea577:-19e7
PART CHOMEURS 55-64 ANS / 15-64 ANS,2041,PIGMA - Part des actifs 55-64 ans / actifs 15-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb8ea577:-21aa
PART DES 15-24 ANS DS POP TOTALE,2042,PIGMA - Part des 15-24 ans dans la population totale 2009,FeatureTypeInfoImpl-43d64256:13adafc165f:-4dd5
PART DES 25-54 ANS DS POP TOTALE,2043,PIGMA - Part des 25-54 ans dans la population totale 2009,FeatureTypeInfoImpl-43d64256:13ada8f133b:42c2
PART DES 55-64 ANS DS POP TOTALE,2044,PIGMA - Part des 55-64 ans dans la population totale en 2009,FeatureTypeInfoImpl-43d64256:13adaa976ed:-5520
WEB_5_3_LES COMMUNES CONCERNÉES PAR LE RISQUE INONDATION DU DÉPARTEMENT DE LA DORDOGNE,2298,DREAL - Communes soumises au risque Inondation,FeatureTypeInfoImpl--25674c34:158e41464a2:-61e
SRCE / RUPTURES CORRIDORS : MILIEUX CONIFERES HYDRO,2631,SRCE - Corridors milieux ouverts à conserver - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58af
SRCE / RUPTURES CORRIDORS : MILIEUX CONIFERES,2632,SRCE - Corridors milieux ouverts à conserver - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58af
BD TOPO : T. ADMINISTRATIF (VERSION 2),3738,IGN BD TOPO - PAI administratif et militaire,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e8e
PRIME A L AMENAGEMENT DU TERRITOIRE (PAT) : ZONAGE,643,CE24 - Zonage de prime à l'aménagement du territoire,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e98
TX CROISSANCE POP ENTRE 1968 ET 2008,1307,PIGMA - Croissance de la population par commune de 1968 à 2008,FeatureTypeInfoImpl-44687cb7:13615ef08a7:317
SRCE / RUPTURES CORRIDORS : MILIEUX FEUILLUS,2634,SRCE - Corridors milieux ouverts à retirer - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58aa
SRCE / ZONES CENTRALES : MILIEUX OUVERTS,2678,SRCE - Corridors milieux ouverts à ajouter - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d4
SRCE / RUPTURES CORRIDORS : MILIEUX BOCAGES,2629,SRCE - Corridors milieux ouverts à ajouter - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d4
SRCE / RUPTURES CORRIDORS : MILIEUX BOCAGES HYDRO,2630,SRCE - Corridors milieux ouverts à ajouter - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d4
SRCE / RUPTURES CORRIDORS : MILIEUX FEUILLUS HYDRO,2633,SRCE - Corridors milieux ouverts à retirer - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58aa
POINT D'ACCES PUBLICS A INTERNET (PAPI) 2009,1026,RAUDIN - Point d’Accès Public à Internet (PAPI),FeatureTypeInfoImpl-5d223b53:134e5d6d059:-358f
DOCUMENT URBANISME : NORD MEDOC EN GIRONDE,2252,DREAL - Doc urbanisme Nord Medoc (PLU/POS/CC),FeatureTypeInfoImpl-7a81c763:139d378b295:2bb8
SRCE / TRAME BLEUE : BASSIN HARMONISEE,2653,SRCE - EF Obstacles sur les cours d'eau de la Trame bleue,FeatureTypeInfoImpl--1349261:1431092c4c4:6d3f
SRCE / TRAME VERTE : ZONES CENTRALES - ZONES HUMIDES,2663,SMBV des Lacs du Born - Zones humides effectives,FeatureTypeInfoImpl-6b25b570:152f4e8a74b:-388a
SRCE / TRAME VERTE : ZONES EXTERNES - ZONES HUMIDES,2673,SMBV des Lacs du Born - Zones humides effectives,FeatureTypeInfoImpl-6b25b570:152f4e8a74b:-388a
ETALAB : PRODUCTION D'ELECTRICITE DONT PRODUCTION HYDRAULIQUE,2718,Installations de production hydraulique en 2014,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-56a6
COMPTAGE TRAFIC ROUTIER SUR LA CUB EN 2010,4071,DREAL - Trafic comptages CUB de 2010 à 2014,FeatureTypeInfoImpl-69be8d:14eba61c107:3850
COMPTAGE TRAFIC ROUTIER SUR LA CUB EN 2014,4075,DREAL - Trafic comptages CUB de 2010 à 2014,FeatureTypeInfoImpl-69be8d:14eba61c107:3850
ENQUETE : POINT D'ACCES PUBLICS A INTERNET (PAPI) 2009/2010,1725,RAUDIN - Point d’Accès Public à Internet (PAPI),FeatureTypeInfoImpl-5d223b53:134e5d6d059:-358f
COURS D'EAU À ENJEUX POISSONS MIGRATEURS, HORS ANGUILLES - BASSIN ADOUR-GARONNE,2565,SRCE  - RB obligatoires hors cours d'eau,FeatureTypeInfoImpl--4a30557a:13af28f792b:992
SRCE / TRAME BLEUE : RESERVOIRS BIOLOGIQUES (LEMA),2652,SRCE - EF Obstacles sur les cours d'eau de la Trame bleue,FeatureTypeInfoImpl--1349261:1431092c4c4:6d3f
SRCE / TRAME VERTE : RESERVOIRS OBLIGATOIRES - MILIEUX OUVERTS,2659,SRCE - Corridors milieux ouverts à ajouter - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d4
SRCE / TRAME VERTE : ZONES EXTERNES - ZONES OUVERTES,2674,SRCE - Zones urbanisées supérieures à 5 ha,FeatureTypeInfoImpl--1e4c652c:152fa3a0024:19a8
SRCE / ZONES CENTRALES : MILIEUX OUVERTS PELOUSES ALTITUDES,2679,SRCE - Corridors milieux ouverts à ajouter - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-58d4
SRCE / TRAME VERTE : ZONES CENTRALES - ZONES OUVERTES,2664,SRCE - Zones urbanisées supérieures à 5 ha,FeatureTypeInfoImpl--1e4c652c:152fa3a0024:19a8
SRCE / TRAME VERTE : ZONES CENTRALES - ZONES OUVERTES PELOUSES ALTITUDES,2665,SRCE - Zones urbanisées supérieures à 5 ha,FeatureTypeInfoImpl--1e4c652c:152fa3a0024:19a8
ARTELIA : GISEMENT HYDROLIEN BRUT (ESTUAIRE DE LA GIRONDE, VITESSES>1M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3156,CR Aqutaine - Estuaire Adour 1ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae2f54845:75ec
ARTELIA : GISEMENT HYDROLIEN BRUT (ESTUAIRE DE LA GIRONDE, VITESSES>1,5M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3157,CR Aqutaine - Estuaire Adour 1ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae2f54845:75ec
ARTELIA : GISEMENT HYDROLIEN BRUT (BASSIN D'ARCACHON, VITESSES>1,5M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3158,CR Aqutaine - Estuaire Adour 1ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae2f54845:75ec
ARTELIA : GISEMENT HYDROLIEN BRUT (BASSIN D'ARCACHON, VITESSES>1M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3159,CR Aqutaine - Estuaire Adour 1ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae2f54845:75ec
ARTELIA : GISEMENT HYDROLIEN BRUT (ESTUAIRE DE L'ADOUR, VITESSES>1M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3160,CR Aqutaine - Estuaire Adour 1ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae2f54845:75ec
STAT DEPARTEMENTAUX 2010 D'EXAMEN DE CONDUIRE PAR TYPE DE PERMIS,1185,DREAL - Centres d'examen des permis de conduire en 2014 en Aquitaine,FeatureTypeInfoImpl-1bfb0579:14dd2b21513:-5bc1
ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES SUR LES POINTS HOULE NEARSHORE,3151,CR Aqutaine - Houle nearshore - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-40b93b40:14ae3e03095:2e67
ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES SUR LES POINTS HOULE OFFSHORE,3152,CR Aqutaine - Houle offshore - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-40b93b40:14ae3f8038a:5c93
STAT DEPARTEMENTAUX 2011 D'EXAMEN DE CONDUIRE PAR TYPE DE PERMIS,3192,DREAL - Centres d'examen des permis de conduire en 2014 en Aquitaine,FeatureTypeInfoImpl-1bfb0579:14dd2b21513:-5bc1
ETABLISSEMENTS SCOLAIRES PUB ET PRI DU 2ND DEGRE AVEC EPI,3174,Rectorat - Etablissements du 2nd degré avec EPI (Novembre 2016),FeatureTypeInfoImpl--7b1f44fd:143069985a2:-1697
OCA : RESEAU DE SUIVI DU DEFI TERRITORIAL ""RECONQUETE DE LA QUALITE BACTERIOLOGIQUE DES EAUX DU LITTORAL BASQUE"" 2005/2007,2886,Suivi des DU - Comparaison date approbation DU intégré et date SUDOCUH,FeatureTypeInfoImpl-2cbed9d4:152ca1b111b:4d2
OCA : RESEAU DE SUIVI DU DEFI TERRITORIAL QUALITE DES EAUX DE BAIGNADE SUR DES ""CELLULES"" DU LITTORAL BASQUE 2007/2008,3102,Suivi des DU - Comparaison date approbation DU intégré et date SUDOCUH,FeatureTypeInfoImpl-2cbed9d4:152ca1b111b:4d2
ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES : HYDROLIEN (POINTS DE POSE SUR L'ESTUAIRE DE L'ADOUR),3161,CR Aqutaine - Zones pose Garonne - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-2913d3a8:14ae7b6672d:32c7
ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES : HYDROLIEN (ZONES POTENTIELLES SUR LE BASSIN D'ARCACHON),3163,CR Aqutaine - Zones pose Bassin Arcachon - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-40b93b40:14ae42b46ba:6577
PISTES CYCLABLES,117,Infrastructures Cyclables Existantes - Référentiel Unique département de la Gironde 33 - Atelier pistes cyclables,FeatureTypeInfoImpl-3215f0b9:1501e697e6c:-5c68
PSG CONTOUR,184,CRPF Aquitaine - Contour du PSG - Mai 2015,FeatureTypeInfoImpl--3ce68516:141a7ed191b:414a
SITES TOURISTIQUES,206,CDC Bourg en Gironde - Sites touristiques remarquables,FeatureTypeInfoImpl--65d22c8b:140e2f62cb9:6bc8
SCAN 25,251,IGN - Scan 25,CoverageInfoImpl--21535270:133b13cd29b:-7fff
BD TOPO,253,IGN BD TOPO - Constructions légères,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e54
SCAN 100,261,IGN - Scan 100,CoverageInfoImpl-1b853102:14058ffa22c:7c5c
SCAN 250,262,IGN - Scan 250,CoverageInfoImpl--7051f1f4:13242bcf565:-7ffe
SCAN 1000,263,IGN - Scan 1000,CoverageInfoImpl-1b853102:1405956ab90:5983
EAUX SOUTERRAINES,272,CG 64 - AEP Ressources en eaux souterraines,FeatureTypeInfoImpl--25d11048:13b23cbf2dc:-2dc9
PATRIMOINE INDUSTRIEL,300,PNR LG - Patrimoine industriel,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-6959
EGLISES CHAPELLES,406,PNR LG - Eglises et chapelles,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-6d62
BRAS MORTS,433,SMEAG -  Interventions sur les bras morts,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7fa0
SALLES MULTISPORT,3316,Pays du Grand Bergeracois - Salles multisport,FeatureTypeInfoImpl-1bf44d9a:1492e0d34ec:-435
PAYS BASQUE,805,CDC Sud Pays Basque - Circuit Pedestre,FeatureTypeInfoImpl-66c2438:1379db69c9e:-7206
BD PARCELLAIRE,1205,BD Parcellaire Gironde : localisants avec fichiers majic 2012,FeatureTypeInfoImpl-4d4cdcbb:1391db5d845:-7659
POSTE ELECTRIQUE,1288,RTE - Poste electrique,FeatureTypeInfoImpl--64db1a4f:15a8f5b7695:-3f58
PLU : SERVITUDES,1439,Cadaujac – Servitudes linéaires du PLU,FeatureTypeInfoImpl--6bedd173:138b6b6a47f:-6438
CHAMBRES D'HOTES,1461,SIRTAQUI - Chambres d'hotes déclarées,FeatureTypeInfoImpl--499dd7c8:1505c036c27:-45cb
SITES NATURELS,1477,SIRTAQUI - Sites naturels,FeatureTypeInfoImpl--499dd7c8:1505c036c27:-44ce
THD OFFRE,1546,CR Aqutaine - THD Offre 10 méga,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77eb
PASSAGES CERFS,1555,FD chasse 33 - Passages de cerfs,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7ddc
PASSAGES CHEVREUILS,1556,FD chasse 33 - Passages de chevreuils,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dce
PASSAGES SANGLIERS,1557,FD chasse 33 - Passages de sangliers,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dd2
JARDINS REMARQUABLES,1654,DRAC - Jardins remarquables,FeatureTypeInfoImpl-6e51fee3:1461ee230a8:-18c2
HABITATS INDUSTRIES,1669,EPIDOR - Habitats industries,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e16
