Cartogip,ID Cartogip,GeoServer,ID GeoServer
rectorat - Etablissements scolaires du 2nd degré (rectorat),110,Rectorat - Etablissements du 1er degré Novembre 2016,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d80
rectorat - Etablissements scolaires du 1er degré (rectorat),441,Rectorat - Etablissements du 1er degré Novembre 2016,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d80
ocs - Evolution de la surface F entre 2000 et 2009,123,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
ocs - Evolution de la surface N entre 2000 et 2009,325,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
ocs - Evolution de la surface A entre 2000 et 2009,326,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
ocs - Evolution de la surface U entre 2000 et 2009,328,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
ocs - Surfaces consommées des espaces F entre 2000 et 2009,345,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
Reserves nationales de chasse et faune sauvage,370,FD chasse 33 - Réserves de chasse et de faune sauvage,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dd8
ocs - Surfaces consommées par les espaces U entre 2000 et 2009,492,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
socio_economique - Part des chômeurs de 15-24 ans,1034,PIGMA - Part des chômeurs de 15-24 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:4cc
socio_economique - Part des chômeurs de 55-64 ans (15-64),1036,PIGMA - Part des chômeurs de 55-64 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-29e1
socio_economique - Part des chômeurs de 25-54 ans,1037,PIGMA - Part des chômeurs de 25-54 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-66c8
ddt - Points de prélèvements d'eau pour l'irrigation agricole,1155,DDTM40 - Point de prélèvement d'eau pour l'irrigation,FeatureTypeInfoImpl--3ace510b:13b99b4389f:-7ffd
patrimoine_culturel - Périmètre de protection des monuments historiques (500 m),167,DRAC - Périmètres de protection des monuments historiques (500m),FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f63
insee - Part des actifs occupés travaillant hors communes de résidence en 2007,730,INSEE - Part des chômeurs entre 15 et 24 ans par communes,FeatureTypeInfoImpl-48337e3e:150c868ce7e:403d
cadastre - Parcelles,106,Cadastre - Parcelles cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-3e4679f5:133887f8025:-7df9
dreal - ICPE industries (DREAL),109,DREAL - ICPE,FeatureTypeInfoImpl--7b1a2e47:1511b4833d4:4062
insee - Population,170,INSEE - Densité population carroyage 200m,FeatureTypeInfoImpl--6dc19e29:136a16cf456:-7ea
ifn - Dégâts IFN 1999,237,IFN - Dégâts,FeatureTypeInfoImpl-5654a656:137a277a2e8:-7e6e
ifn - Dégâts IFN 2009,359,IFN - Dégâts,FeatureTypeInfoImpl-5654a656:137a277a2e8:-7e6e
Prescriptions des Landes,635,Urbanisme - Landes Prescriptions linéaires,FeatureTypeInfoImpl--69a2e1b0:143726857b1:4b42
Informations des Landes,798,Urbanisme - Landes Informations linéaires,FeatureTypeInfoImpl--69a2e1b0:143726857b1:-20e5
Zonages des Landes,800,Urbanisme - Landes Zonages,FeatureTypeInfoImpl--69a2e1b0:143720ddf42:-3f9b
sdis - Secours,1101,SDIS - Centres de secours,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d5c
cadastre - Parcelles,1212,Cadastre - Parcelles cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-3e4679f5:133887f8025:-7df9
cadastre - Sections,1745,Cadastre - Sections cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-76ba
cadastre - Parcelles,1912,Cadastre - Parcelles cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-3e4679f5:133887f8025:-7df9
atlas - Atlas A3,950,DDT 47 - Atlas zones inondables (hors PPRI),FeatureTypeInfoImpl-1bfa188e:149eb73da18:-23c7
insee - Densité de population 2006,201,INSEE - Densité population carroyage 200m,FeatureTypeInfoImpl--6dc19e29:136a16cf456:-7ea
insee - Population par commune 2007,222,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
crpf - Plan simple de gestion,906,DDT 24 - Propriétés couvertes par un Plan Simple de Gestion,FeatureTypeInfoImpl-7a7bae0a:141b772d55a:182e
carmen - Réserves naturelles nationales,1332,CG47 - Réserves naturelles nationales,FeatureTypeInfoImpl--5738bcda:13cb7bf17f0:-7a01
filiere_bois - Itinéraires des bois ronds,931,DRAAF - Itinéraires bois ronds,FeatureTypeInfoImpl--155706dd:1373c90c085:-7ffd
Etab. pour personnes agées,1821,ARS - Etablissements d'hébergement pour personnes agées,FeatureTypeInfoImpl-59b62a1c:15046737959:-5309
insee - Population commune (2006),483,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
insee - Population par commune (2007),655,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
insee - Population par commune (2007),1190,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
projets_infrastructures - Projet LGV GPSO au 10 12 2012,1011,RFF - Projet LGV GPSO 1000m,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d6e
socio_economique - Taux de chômage des 15-24 ans,346,PIGMA - Taux de chômage des 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:-1f4d
socio_economique - Taux de chômage des 15-64 ans,347,PIGMA - Taux de chômage des 15-64 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:34b3
ddtm47 - Périmètres de protection des captages AEP,495,ARS - PPE 24 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:14ca
socio_economique - Part des actifs de 25-54 ans par rapport à la population des 25-54 ans,574,PIGMA - Part des actifs 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:4bd3
socio_economique - Part actifs occupés de 15-24 ans,746,PIGMA - Part des actifs 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:-6671
socio_economique - Part actifs occupés de 55-64 ans,757,PIGMA - Part des actifs 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:5a6d
socio_economique - Part des actifs de 55-64 ans par rapport à la population des 55-64 ans,784,PIGMA - Part des actifs 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:5a6d
socio_economique - Part actifs occupés de 25-54 ans,786,PIGMA - Part des actifs 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:4bd3
socio_economique - Taux de chômage des 55-64 ans,1039,PIGMA - Taux de chômage des 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-5989
socio_economique - Part des actifs de 15-24 ans par rapport à la population des 15-24 ans,1042,PIGMA - Part des actifs 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:-6671
socio_economique - Taux de chômage des 25-54 ans,1046,PIGMA - Taux de chômage des 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:7f44
insee - Taux de croissance de la population entre 1962 et 2007,733,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
ddtm47 - Points de prélèvements d'eau pour l'irrigation agricole,1266,DDTM40 - Point de prélèvement d'eau pour l'irrigation,FeatureTypeInfoImpl--3ace510b:13b99b4389f:-7ffd
rectorat - Etablissements scolaires du 2nd degré (rectorat),110,Rectorat - Etablissements du 1er degré Novembre 2016,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d80
rectorat - Etablissements scolaires du 1er degré (rectorat),441,Rectorat - Etablissements du 1er degré Novembre 2016,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d80
ocs - Evolution de la surface F entre 2000 et 2009,123,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
ocs - Evolution de la surface N entre 2000 et 2009,325,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
ocs - Evolution de la surface A entre 2000 et 2009,326,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
ocs - Evolution de la surface U entre 2000 et 2009,328,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
ocs - Surfaces consommées des espaces F entre 2000 et 2009,345,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
Reserves nationales de chasse et faune sauvage,370,FD chasse 33 - Réserves de chasse et de faune sauvage,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dd8
ocs - Surfaces consommées par les espaces U entre 2000 et 2009,492,GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b
socio_economique - Part des chômeurs de 15-24 ans,1034,PIGMA - Part des chômeurs de 15-24 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:4cc
socio_economique - Part des chômeurs de 55-64 ans (15-64),1036,PIGMA - Part des chômeurs de 55-64 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-29e1
socio_economique - Part des chômeurs de 25-54 ans,1037,PIGMA - Part des chômeurs de 25-54 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-66c8
ddt - Points de prélèvements d'eau pour l'irrigation agricole,1155,DDTM40 - Point de prélèvement d'eau pour l'irrigation,FeatureTypeInfoImpl--3ace510b:13b99b4389f:-7ffd
patrimoine_culturel - Périmètre de protection des monuments historiques (500 m),167,DRAC - Périmètres de protection des monuments historiques (500m),FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f63
insee - Part des actifs occupés travaillant hors communes de résidence en 2007,730,INSEE - Part des chômeurs entre 15 et 24 ans par communes,FeatureTypeInfoImpl-48337e3e:150c868ce7e:403d
cadastre - Parcelles,106,Cadastre - Parcelles cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-3e4679f5:133887f8025:-7df9
dreal - ICPE industries (DREAL),109,DREAL - ICPE,FeatureTypeInfoImpl--7b1a2e47:1511b4833d4:4062
insee - Population,170,INSEE - Densité population carroyage 200m,FeatureTypeInfoImpl--6dc19e29:136a16cf456:-7ea
ifn - Dégâts IFN 1999,237,IFN - Dégâts,FeatureTypeInfoImpl-5654a656:137a277a2e8:-7e6e
ifn - Dégâts IFN 2009,359,IFN - Dégâts,FeatureTypeInfoImpl-5654a656:137a277a2e8:-7e6e
Prescriptions des Landes,635,Urbanisme - Landes Prescriptions linéaires,FeatureTypeInfoImpl--69a2e1b0:143726857b1:4b42
Informations des Landes,798,Urbanisme - Landes Informations linéaires,FeatureTypeInfoImpl--69a2e1b0:143726857b1:-20e5
Zonages des Landes,800,Urbanisme - Landes Zonages,FeatureTypeInfoImpl--69a2e1b0:143720ddf42:-3f9b
sdis - Secours,1101,SDIS - Centres de secours,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d5c
cadastre - Parcelles,1212,Cadastre - Parcelles cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-3e4679f5:133887f8025:-7df9
cadastre - Sections,1745,Cadastre - Sections cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-76ba
cadastre - Parcelles,1912,Cadastre - Parcelles cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-3e4679f5:133887f8025:-7df9
atlas - Atlas A3,950,DDT 47 - Atlas zones inondables (hors PPRI),FeatureTypeInfoImpl-1bfa188e:149eb73da18:-23c7
atlas - Atlas A3,950,DDT 47 - Atlas zones inondables (hors PPRI),FeatureTypeInfoImpl-1bfa188e:149eb73da18:-23c7
gip_atgeri - Cantons 2015,225,CR Aquitaine - Cantons 2015,FeatureTypeInfoImpl--52fb10a8:14c3174f0bb:-3557
dreal - Communes classées en Loi Littoral,252,Dreal - TRI - Communes,FeatureTypeInfoImpl-749b820c:14d29db9f86:-3f40
rpg - Parcelles PAC 2012,684,CC Montesquieu - Cadastre 2012 - Parcelles,FeatureTypeInfoImpl-4e3547f4:13c6cc45535:-9d5
ddtm47 - Etablissements de santé,945,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
gip_atgeri - cantons 2015,1172,CR Aquitaine - Cantons 2015,FeatureTypeInfoImpl--52fb10a8:14c3174f0bb:-3557
raster - Scan 25 Aquitaine,1576,IGN - Scan 25,CoverageInfoImpl--21535270:133b13cd29b:-7fff
ars - Etablissements de santé (Décembre 2014),1629,ARS - Etablissements de santé,FeatureTypeInfoImpl-f93348d:1514378713f:22b
ars - Etablissements médico-sociaux (Décembre 2014),1630,ARS - Etablissements médico-sociaux,FeatureTypeInfoImpl-f93348d:15143422d5c:35d6
rpg - Parcelles PAC 2012,2037,CC Montesquieu - Cadastre 2012 - Parcelles,FeatureTypeInfoImpl-4e3547f4:13c6cc45535:-9d5
insee - Population legales 2008 dgf,105,INSEE - Population par EPCI,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3da9
insee - Population 2008 (DGF),182,INSEE - Population par EPCI,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3da9
patrimoine_culturel - Service d'archives,196,DRAC - Service d'Archives,FeatureTypeInfoImpl--15513d29:1338db5f360:-7bcb
public - Toponymes occitans,217,INOC - Toponymes Occitans,FeatureTypeInfoImpl-36b5020a:142943853a4:2c69
insee - Population par intercommunalités 2007,479,INSEE - Population par EPCI,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3da9
bdtopo - Cours d'eau,1187,SRCE - Cours d'eau,FeatureTypeInfoImpl--1e4c652c:152fa292e35:-3c79
insee - Population legales 2008 dgf,1335,INSEE - Population par EPCI,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3da9
insee - Population iris2007 cercle,1337,INSEE - Population par EPCI,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3da9
insee - Population iris2007 surface,1656,INSEE - Population par EPCI,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3da9
pompier - Tours de guet,1750,SDIS - Tours de guet,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d58
patrimoine_culturel - Monuments historiques (immeubles) Aq Mp,1778,DRAC - Monuments historiques,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7fa3
ddpp - Elevages de bovins,1811,DDCSPP 47 - Elevages bovins,FeatureTypeInfoImpl-48337e3e:150c7ccc759:2fa2
pompier - Centres de secours,1812,SDIS - Centres de secours,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d5c
wms_externe - Vue aérienne 2004-2008,1884,Vue Aérienne 2004-2008 50cm,CoverageInfoImpl--25674c34:158ce250908:42c3
Etab. Enfants handicapés,191,ARS - Etablissements pour enfants handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-45a4
icpe - Sites ICPE,289,Cadaujac - Niveau acoustique des ICPE,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7f50
icpe - Localisants ICPE,291,DREAL - ICPE,FeatureTypeInfoImpl--7b1a2e47:1511b4833d4:4062
icpe - Bâtiments ICPE,292,DREAL - ICPE,FeatureTypeInfoImpl--7b1a2e47:1511b4833d4:4062
Réserves naturelles de Corse,522,CG47 - Réserves naturelles nationales,FeatureTypeInfoImpl--5738bcda:13cb7bf17f0:-7a01
filiere_bois - Points d'entrée des sites de stockage,576,DRAAF - Sites de stockage,FeatureTypeInfoImpl--155706dd:1373c90c085:-7ff7
ddtm47 - Elevages de bovins,595,DDCSPP 47 - Elevages bovins,FeatureTypeInfoImpl-48337e3e:150c7ccc759:2fa2
ddtm47 - Elevages de bovins,697,DDCSPP 47 - Elevages bovins,FeatureTypeInfoImpl-48337e3e:150c7ccc759:2fa2
cadastre - Parcelles MAJIC,724,Cadastre - Parcelles cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-3e4679f5:133887f8025:-7df9
filiere_bois - Sites de stockage subventionnés,921,DRAAF - Sites de stockage,FeatureTypeInfoImpl--155706dd:1373c90c085:-7ff7
bdtopo - Bati industriel,1193,IGN BD TOPO - Bati Industriel,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e4e
dgfip - Parcelles cadastrales,1786,Cadastre - Parcelles cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-3e4679f5:133887f8025:-7df9
dgfip - Parcelles cadastrales,1800,Cadastre - Parcelles cadastrales (IGN BDParcellaire) Nov 2013,FeatureTypeInfoImpl-3e4679f5:133887f8025:-7df9
Etab. Adultes handicapés,1825,ARS - Etablissements pour adultes handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-4f4b
bdtopo - Réseau ferré,481,RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68
Reserves naturelles nationales,523,CG47 - Réserves naturelles nationales,FeatureTypeInfoImpl--5738bcda:13cb7bf17f0:-7a01
collecte - Collecte SDIS47,560,CA Grand Villeneuvois - Points de collecte,FeatureTypeInfoImpl--1555e0c2:13a2c2c28f3:1aa8
bdtopo - Bati remarquable,1184,IGN BD TOPO -  Bati remarquable,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e48
dfci - Dfci travaux,16,ARDFCI - Contour des ASA de DFCI,FeatureTypeInfoImpl-6055af01:139f8af61b3:-2290
tigf - Station de compression (TIGF),650,TIGF - Stations de compression,FeatureTypeInfoImpl-24a8bf94:13846bea89d:-7884
piste_cyclable - Pistes cyclables,877,BxM - Atelier pistes cyclables,FeatureTypeInfoImpl-34ef02ac:14b7323a6fc:225a
atlas - Atlas zoom4000,303,DDT 47 - Atlas zones inondables (hors PPRI),FeatureTypeInfoImpl-1bfa188e:149eb73da18:-23c7
dreal - Hauteur d'eau TRI Agen (faible probabilité),310,Dreal - TRI - Communes,FeatureTypeInfoImpl-749b820c:14d29db9f86:-3f40
dreal - Hauteur eaux TRI Tonneins - Marmande (forte probabilité),311,Dreal - TRI - Communes,FeatureTypeInfoImpl-749b820c:14d29db9f86:-3f40
dreal - Hauteur eaux TRI Tonneins - Marmande (moyenne probabilité),313,Dreal - TRI - Communes,FeatureTypeInfoImpl-749b820c:14d29db9f86:-3f40
dreal - Hauteur eaux TRI Tonneins - Marmande (faible probabilité),314,Dreal - TRI - Communes,FeatureTypeInfoImpl-749b820c:14d29db9f86:-3f40
atlas - Atlas zoom8000,670,DDT 47 - Atlas zones inondables (hors PPRI),FeatureTypeInfoImpl-1bfa188e:149eb73da18:-23c7
atlas - Atlas zoom2000,677,DDT 47 - Atlas zones inondables (hors PPRI),FeatureTypeInfoImpl-1bfa188e:149eb73da18:-23c7
ars - Services de soins intensifs,1111,ARS - Soins intensifs (Réservé ARS),FeatureTypeInfoImpl-29107397:1504bfcb2ce:949
dreal - Hauteur d'eau TRI Agen (forte probabilité),1320,Dreal - TRI - Communes,FeatureTypeInfoImpl-749b820c:14d29db9f86:-3f40
dreal - Hauteur d'eau TRI Agen (moyenne probabilité),1343,Dreal - TRI - Communes,FeatureTypeInfoImpl-749b820c:14d29db9f86:-3f40
dreal - Enveloppes aléas inondation TRI Agen (forte, moyenne et faible probabi,1344,Dreal - TRI - Communes,FeatureTypeInfoImpl-749b820c:14d29db9f86:-3f40
Réserves naturelles régionales,1542,CG47 - Réserves naturelles nationales,FeatureTypeInfoImpl--5738bcda:13cb7bf17f0:-7a01
geofla - Contour Nouvelle Aquitaine,1844,CR Aquitaine - EPCI Nouvelle Aquitaine,FeatureTypeInfoImpl-10996a3e:15355fc0fb6:5e0d
geofla - Communales Nouvelle Aquitaine,1853,CR Aquitaine - EPCI Nouvelle Aquitaine,FeatureTypeInfoImpl-10996a3e:15355fc0fb6:5e0d
geofla - Arrondissements Nouvelle Aquitaine,1854,CR Aquitaine - EPCI Nouvelle Aquitaine,FeatureTypeInfoImpl-10996a3e:15355fc0fb6:5e0d
geofla - Cantons Nouvelle Aquitaine,1858,CR Aquitaine - EPCI Nouvelle Aquitaine,FeatureTypeInfoImpl-10996a3e:15355fc0fb6:5e0d
wms_externe - Dreal-TRI-Proba crue Fort Débordement,1988,Dreal-TRI-Proba crue Moy-Subm,FeatureTypeInfoImpl--6dc709cf:14d4de3c19f:-55e1
wms_externe - Dreal-TRI-Proba crue Faible Débordement,1994,Dreal-TRI-Proba crue Moy-Subm,FeatureTypeInfoImpl--6dc709cf:14d4de3c19f:-55e1
wms_externe - Dreal-TRI-Proba crue Moy Débordement,2004,Dreal-TRI-Proba crue Moy-Subm,FeatureTypeInfoImpl--6dc709cf:14d4de3c19f:-55e1
wms_externe - PPRI 33 - Synthèse des zonages règlementaires,891,Urbanisme - 33 - Zonages urbanisme,FeatureTypeInfoImpl-2c34a65b:13f9e7c9256:f17
01-02 Mars - Estuaire Gironde,457,CR Aqutaine - Estuaire Gironde 1.5ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae30c2fb5:5f6c
rte - Réseau lignes électrique (de 400kv à 63kv),589,RTE - Réseau électrique aérien,FeatureTypeInfoImpl--64db1a4f:15a8f5b7695:-3d19
eau - Obstacles ecoulement cours eau,966,SRCE - EF Obstacles sur les cours d'eau de la Trame bleue,FeatureTypeInfoImpl--1349261:1431092c4c4:6d3f
Terrains des Conservatoires des espaces naturels,366,SDIS 64 - PAI Espaces naturels,FeatureTypeInfoImpl--1e53a2c2:13f56e5d5ab:2d71
reseau_routier - Routes goudronnées non nommées,548,IGN BD TOPO - Routes nommées,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e2e
ddcspp - Elevage avicoles / volailles,588,DDCSPP 47 - Elevages avicoles,FeatureTypeInfoImpl-48337e3e:150c7ccc759:2fb3
bdtopo - Bdtopo troncons hydrographiques,804,IGN - BDtopo - Pylones,FeatureTypeInfoImpl--3a85bcf:132cf3d3d67:-7b8e
bdtopo - Bdtopo surfaces hydrographiques,805,IGN - BDtopo - Pylones,FeatureTypeInfoImpl--3a85bcf:132cf3d3d67:-7b8e
pompier - Point d'eau naturel,898,IGN BD TOPO - Point d'eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e68
reseau_routier - Routes goudronnés nommées,929,IGN BD TOPO - Routes nommées,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e2e
indicateurs_conso_fonciere - Zone de végétation,1310,IGN BD TOPO - Zone Végétation,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-713a
wms_externe - IGN - Nom des voies,1398,IGN BD TOPO - Tronçons voies ferrées,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e36
wms_externe - Voies ferrées,1573,AURBA - Voies ferrées des zones d'activités,FeatureTypeInfoImpl-1f027e38:13c8e8c3c25:-5f8c
limites_admin - Communes Aquitaine,396,IGN - Communes Nouvelle Aquitaine,FeatureTypeInfoImpl--1bed10f1:14f885c2c3f:-50e6
