Cartogip,ID Cartogip,BSD,ID BSD
civb - Parcelles cad en vigne,1620,RASTER DES PARCELLES CADASTRALES PLANTEES EN VIGNE EN TOUT OU PARTIE,4336
Mouvements de terrain BRGM,1741,MOUVEMENTS DE TERRAIN NON LOCALISES,1609
ddpp - Elevages de bovins,1811,ELEVAGES BOVINS LAITIERS OU MIXTES,4306
ddpp - Transporteurs animaux,1846,TRANSPORTEURS ANIMAUX VIVANTS,4316
ddpp - Traitement sous produits,1838,ETABLISSEMENT TRAITEMENT SOUS PRODUITS (EQUARRISSAGE, COMPOSTAGE, METHANISATION),4314
insee - Population iris 2007,307,RECENSEMENT POP 2007 - IRIS - THEME POPULATION,1226
sidpc - Moustique tigre Communes infectées,1874,MOUSTIQUE TIGRE : COMMUNES INFECTEES,3596
raster - BD ORTHO 2015 25cm,1717,BD ORTHO 5M - 2015 : EX-AQUITAINE,3356
socio_economique - Part des 15-24 ans dans la population totale,550,PART DES 15-24 ANS DS POP TOTALE,2042
socio_economique - Part des 55-64 ans dans la population totale,699,PART DES 55-64 ANS DS POP TOTALE,2044
socio_economique - Part des 25-54 ans dans la population totale,1043,PART DES 25-54 ANS DS POP TOTALE,2043
ddtm47 - Périmètres de protection des captages AEP,495,RESEAU AEP : PERIMETRES DE PROTECTION DES CAPTAGES,2107
ddtm47 - Zone de securité autour des canalisations de gaz,928,RESEAU TRANSPORT GAZS : ZONE DE SECURITE AUTOUR CANALISATIONS,1517
patrimoine_culturel - Périmètre de protection des monuments historiques (500 m),167,PERIMETRE DE PROTECTION DES MONUMENTS HISTORIQUES,159
tigf - Postes de sectionnement et robinets de sécurité (TIGF),438,POSTES DE SECTIONNEMENT ET ROBINETS DE SECURITE,1904
socio_economique - 15 ans et + non scolarisés sans diplômes,789,POP DE 15 ANS ET + NON SCOLARISES SANS DIPLOMES,2056
socio_economique - Part des actifs de 25-54 ans par rapport à la population des 25-54 ans,574,PART DES ACTIFS OCCUPES DE 25-54 ANS,2053
socio_economique - Part actifs occupés de 15-24 ans,746,PART DES ACTIFS OCCUPES DE 15-24 ANS,2052
socio_economique - Part actifs occupés de 55-64 ans,757,PART DES ACTIFS OCCUPES DE 55-64 ANS,2054
socio_economique - Part des actifs de 55-64 ans par rapport à la population des 55-64 ans,784,PART DES ACTIFS OCCUPES DE 55-64 ANS,2054
socio_economique - Part actifs occupés de 25-54 ans,786,PART DES ACTIFS OCCUPES DE 25-54 ANS,2053
socio_economique - Part des actifs de 15-24 ans par rapport à la population des 15-24 ans,1042,PART DES ACTIFS OCCUPES DE 15-24 ANS,2052
admin_express - Communautés ou groupements de communes (EPCI),1702,WEB_1-30_LES COMMUNAUTÉS DE COMMUNES (EPCI) DU DÉPARTEMENT DE LA DORDOGNE,2263
limites_admin - Communautés ou groupements de communes (EPCI),1783,WEB_1-30_LES COMMUNAUTÉS DE COMMUNES (EPCI) DU DÉPARTEMENT DE LA DORDOGNE,2263
cadastre - Parcelles,106,CADASTRE ANCIEN : PARCELLES 1812,1697
dreal - ICPE industries (DREAL),109,ICPE - INDUSTRIES,3593
cadastre - Bati,210,CADASTRE ANCIEN : BATI 1812,1698
gip_atgeri - Cantons 2015,225,CANTONS 2015,3270
ddt - Points routiers,227,POINTS ROUTIERS,3583
WMS Geosignal,262,DONNEES EN WMS : GEOSIGNAL,2241
atlas - Atlas zoom4000,303,ATLAS,258
Reserves nationales de chasse et faune sauvage,370,FAUNE SAUVAGE,3970
cadastre - Cadastre IGN Aquitaine,470,CADASTRE,79
cadastre - Cadastre -  PCI  (2 CDC),473,CADASTRE,79
cadastre - Lim. Communales - IGN - BD Parcellaire,478,BD PARCELLAIRE,1205
ZNIEFF 1,544,ZNIEFF 1,80
Scan 1000 IGN,583,SCAN 1000,263
atlas - Atlas zoom8000,670,ATLAS,258
atlas - Atlas zoom2000,677,ATLAS,258
dfci - Pistes forestières 40,841,PISTES DFCI,615
piste_cyclable - Pistes cyclables,877,PISTES CYCLABLES,117
atlas - Atlas A3,950,ATLAS,258
projets_infrastructures - Projet ouvrages hydrauliques,967,OUVRAGES HYDRAULIQUES,1150
pompier - Buffer 400m Prise d'eau,973,PRISE D'EAU,138
gip_atgeri - cantons 2015,1172,CANTONS 2015,3270
ddt - Points routiers,1177,POINTS ROUTIERS,3583
cadastre - Parcelles,1212,CADASTRE ANCIEN : PARCELLES 1812,1697
dfci - Test saisie pistes,1226,PISTES DFCI,615
sdis - Inter acces fluvial,1299,ACCES FLUVIAL,51
cadastre - Bati,1339,CADASTRE ANCIEN : BATI 1812,1698
cub - Stations VCUB,1549,DISPONIBILITE STATIONS VCUB EN TEMPS REEL,4089
rff - Reseau ferre,1603,RESEAU FERRE EN SERVICE (RGI),645
geofla - Limites communales,1617,LIMITES COMMUNALES,4348
dfci - ASA,1718,ASA DFCI,182
ZNIEFF 2,1753,ZNIEFF 2,81
patrimoine_culturel - Monuments historiques (immeubles) Aq Mp,1778,MONUMENTS HISTORIQUES,3179
cadastre - Parcelles,1912,CADASTRE ANCIEN : PARCELLES 1812,1697
cadastre - Bati,1914,CADASTRE ANCIEN : BATI 1812,1698
cadastre - Cadastre IGN Aquitaine,1938,CADASTRE,79
reseau_routier - PK routier,1965,PK ROUTIER,102
tigf - Postes de livraison (TIGF),437,POSTES DE LIVRAISON,1905
Ortho 65 2010,445,ORTHO 2010 : CHARENTE-MARITIME,1978
Arretes de protection de biotope,524,ARRETES DE BIOTOPE,229
ddcspp - Elevage avicoles / volailles,588,ELEVAGE DE VOLAILLES,3555
cartorisque - PPR mouvement de terrain,755,MOUVEMENT DE TERRAIN,424
erdf - Poste de transformation RTE - ERDF,1159,POSTE DE TRANSFORMATION,170
wms_externe - fond GIP 4000 GCIS,1264,FOND GCIS 33,3775
wms_externe - Aléa mouvement de terrain - Couche de synthèse,1281,MOUVEMENT DE TERRAIN,424
pompier - Point d'eau naturel,898,POINT EAU NATUREL,49
eau - Très petite masse d'eau,547,MASSE D'EAU PLAN D'EAU,332
eau - Grande masse d'eau,914,MASSE D'EAU PLAN D'EAU,332
bdtopo - Cours d'eau,1187,ETAT COURS D'EAU,1023
civb - Parcelles cad en vigne,1620,RASTER DES PARCELLES CADASTRALES PLANTEES EN VIGNE EN TOUT OU PARTIE,4336
Mouvements de terrain BRGM,1741,MOUVEMENTS DE TERRAIN NON LOCALISES,1609
ddpp - Elevages de bovins,1811,ELEVAGES BOVINS LAITIERS OU MIXTES,4306
ddpp - Transporteurs animaux,1846,TRANSPORTEURS ANIMAUX VIVANTS,4316
ddpp - Transporteurs animaux,1846,TRANSPORTEURS ANIMAUX VIVANTS,4316
ddpp - Elevages de volailles,1861,ELEVAGES VOLAILLES (CHAIR ET POULES PONDEUSES),4305
crpf - Habitat naturel,2052,HABITAT NATUREL SUR LA LEYRE : 33 AFFLUENTS,776
icpe - Sites ICPE,289,ICPE - INDUSTRIES,3593
Parc naturel marin,368,PARC NATUREL  REGIONAL,228
Parcs naturels regionaux,369,PAYS ET PARC NATURELS REGIONAUX - 2014,3879
insee - Carroyage 200m,616,CARROYAGE POPULATION 200M,2057
cadastre - Parcelles MAJIC,724,CADASTRE ANCIEN : PARCELLES 1812,1697
atlas - Carroyage 400m,920,CARROYAGE ALPHANUMERIQUE 400M : DORDOGNE,843
ars - Captages AEP (ARS),1638,RESEAU AEP : PERIMETRES DE PROTECTION DES CAPTAGES,2107
ars - Captages AEP (ARS),1644,RESEAU AEP : PERIMETRES DE PROTECTION DES CAPTAGES,2107
dgfip - Parcelles cadastrales,1786,RASTER DES PARCELLES CADASTRALES PLANTEES EN VIGNE EN TOUT OU PARTIE,4336
dgfip - Parcelles cadastrales,1800,RASTER DES PARCELLES CADASTRALES PLANTEES EN VIGNE EN TOUT OU PARTIE,4336
sidpc - Zone de protection,1910,NATURA 2000 : ZPS (OISEAU) ZONE DE PROTECTION SPÉCIALE,220
bdtopo - Points d'eau,124,DENSITE DE POINTS D'EAU (NIVEAU COMMUNE GENERALISEES),1634
insee - Population communes 1962,177,POPULATION DES COMMUNES EN 1990,3862
eau - BD Carthage - Autres,447,REGION HYDROGRAPHIQUE BD CARTHAGE,48
bdtopo - Réseau routier,474,CARTE DE BRUIT STRATÉGIQUE LDEN RÉSEAU ROUTIER DE DAX,2541
collecte - Collecte SDIS47,560,GESTION DECHETS : INSTALLATIONS DE COLLECTE ET DE TRAITEMENTS DES DECHETS,127
ddtm47 - Elevages de bovins,595,ELEVAGES BOVINS LAITIERS OU MIXTES,4306
ddtm47 - Elevages de bovins,697,ELEVAGES BOVINS LAITIERS OU MIXTES,4306
ddtm47 - Captages AEP,844,RESEAU AEP : PERIMETRES DE PROTECTION DES CAPTAGES,2107
insee - Population communes 1962,1211,POPULATION DES COMMUNES EN 1990,3862
carmen - Natura 2000 (habitats, faune, flore),1319,RESEAU NATURA 2000,713
carmen - Natura 2000 (oiseaux),1321,RESEAU NATURA 2000,713
carmen - Directive oiseaux,1333,NATURA 2000 - DIRECTIVE OISEAUX,707
insee - Population communes 1962,1334,POPULATION DES COMMUNES EN 1990,3862
geofla - Communes de Gironde,1628,GIRONDE : COMMUNES SUIVIES POUR LE MOUSTIQUE TIGRE,4354
geofla - Communes de Gironde,2044,GIRONDE : COMMUNES SUIVIES POUR LE MOUSTIQUE TIGRE,4354
pompier - Points d'eau,905,DENSITE DE POINTS D'EAU (NIVEAU COMMUNE GENERALISEES),1634
erdf - Réseau aérien moyenne tension (15KV - 20Kv),1162,ARMOIRE MOYENNE TENSION,1289
erdf - Réseau enterré moyenne tension (15KV - 20Kv),1164,ARMOIRE MOYENNE TENSION,1289
carmen - Parc national des Pyrénées,1237,PARC NATIONAL DES PYRENEES,1571
carmen - Réserves naturelles nationales,1332,RESERVES NATURELLES NATIONALES,223
pompier - Feux 2016,1383,DOC : ORDRE OPERATIONS FEUX DE FORET 2016 : GIRONDE,3763
Vue aérienne CUB 2008,134,ORTHOPHOTO ÉTÉ 2008 DE LA CUB,4154
Zone de protection speciale,194,NATURA 2000 : ZPS (OISEAU) ZONE DE PROTECTION SPÉCIALE,220
Terrains des Conservatoires des espaces naturels,366,ESPACES NATURELS PROTEGES,2131
Terrains du Conservatoire du Littoral,367,TERRITOIRE DU CONSERVATOIRE DU LITTORAL,243
sdis - Collecte reseau routier,885,RESEAU ROUTIER NATIONAL,1518
ars - Services de soins intensifs,1111,ETABLISSEMENTS AVEC SOINS INTENSIFS,3584
indicateurs_conso_fonciere - Territoire Analyes 1, 2 et 3,1143,TERRITOIRE OBJECTIF 2,196
icpe - Bâtiments ICPE,292,ICPE - INDUSTRIES,3593
raster - Ortho 31 2010,442,ORTHO 2010 : CHARENTE-MARITIME,1978
formation - Formation mfv signalement,1762,ECOLES DE FORMATION,2688
crpf - Coupes Rases récentes,2040,COUPES RASES 1999 - 2006,75
icpe - Localisants ICPE,291,ICPE - INDUSTRIES,3593
limites_admin - Communes Aquitaine,396,COMMUNES LITTORALES EN AQUITAINE,746
wms_externe - BRGM Banque du sous sol,424,BANQUE DU SOUS SOL : EAU,1615
01-02 Mars - Estuaire Gironde,457,MISE AU POINT METHODOLOGIE ELABORATION PLANS DE GESTION DE L'EAU MARAIS ESTUAIRE DE LA GIRONDE EXPERIMENTATION MARAIS DE REYSSON,4341
eau - BD Carthage - permanents,708,REGION HYDROGRAPHIQUE BD CARTHAGE,48
eau - BD Carthage - Intermittent,1061,BD CARTHAGE : COURS D'EAU,1486
telespazio - Localisation probabilité de mortalité  sept. 2015,1499,GIRATOIRES  : LOCALISATION,589
Fond cartographique du GIP ATGeRi (maj 03/2017),1621,SITE CARTOGRAPHIQUE DU GIP ATGERI - PIGMA,828
insee - Population iris 2012,1651,RECENSEMENT POP 2007 - IRIS - THEME POPULATION,1226
wms_externe - Stations VCUB,129,DISPONIBILITE STATIONS VCUB EN TEMPS REEL,4089
insee - Population 2008 (DGF),182,RECENSEMENT POP 2008 - CHIFFRES CLES - THEME EVOLUTION-STRUCTURE POPULATION,1303
crpf - Plan bois foret Gironde,294,GIRONDE : PLAN HEBERGEMENT,4350
politiques_publiques - Soutenir le développement durable du littoral aquitain,716,OCS DU LITTORAL AQUITAIN : 2000,3000
bdtopo - Bdtopo troncons hydrographiques,804,BD CARTHAGE : TRONCONS HYDROGRAPHIQUES,1489
eau - Axes migrateurs amphihalins,873,PLAN DE GESTION DES POISSONS MIGRATEURS - AXES ANGUILLES,710
filiere_bois - Itinéraires des bois ronds,931,ITINERAIRES BOIS RONDS,104
projets_infrastructures - Points kilometriques RFF septembre 2011,1044,POINTS KILOMETRIQUES DU LITTORAL,3400
ddt - Points de prélèvements d'eau pour l'irrigation agricole,1155,POINTS PRELEVEMENTS EAU IRRIGATION AGRICOLE,3591
projets_infrastructures - Points kilometriques RFF septembre 2011,1267,POINTS KILOMETRIQUES DU LITTORAL,3400
wms_externe - Réseau routier,1572,CARTE DE BRUIT STRATÉGIQUE LDEN RÉSEAU ROUTIER DE DAX,2541
Etab. pour personnes agées,1821,ETABLISSEMENTS POUR PERSONNES AGEES,1298
insee - Densité de population 2006,201,POPULATION DES COMMUNES EN 2006,3866
dreal - Communes classées en Loi Littoral,252,COMMUNES SOUMISES LOI LITTORAL,1184
xynthia - Submersion tempête de 1999,723,OCA : SUBMERSION XYNTHIA - HAUTEURS D'EAU,2979
ars - Services de soins de longue durée,831,SERVICES DE SOINS INFIRMIERS A DOMICILE (SSIAD),3676
ddtm47 - Etablissements scolaires du 2nd degré,1050,ETABLISSEMENTS SCOLAIRES PUB ET PRI DU 1ER DEGRE,762
ddpp - Cuisines centrales agréées,1829,ETABLISSEMENTS AGREES : CUISINES CENTRALES,4319
geofla - Contour Nouvelle Aquitaine,1844,BD TOPO V2.2 : NOUVELLE AQUITAINE,3739
geofla - Communales Nouvelle Aquitaine,1853,BD TOPO V2.2 : NOUVELLE AQUITAINE,3739
geofla - Arrondissements Nouvelle Aquitaine,1854,BD TOPO V2.2 : NOUVELLE AQUITAINE,3739
geofla - Départements Nouvelle Aquitaine,1856,BD TOPO V2.2 : NOUVELLE AQUITAINE,3739
geofla - Cantons Nouvelle Aquitaine,1858,BD TOPO V2.2 : NOUVELLE AQUITAINE,3739
insee - Population legales 2008 dgf,105,RECENSEMENT POP 2008 - CHIFFRES CLES - THEME EVOLUTION-STRUCTURE POPULATION,1303
insee - Population par commune 2007,222,RECENSEMENT POP 2007 - IRIS - THEME POPULATION,1226
ocs - Evolution de la surface A entre 2000 et 2009,326,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Evolution de la surface U entre 2000 et 2009,328,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
insee - Population par cantons 2008,426,RECENSEMENT POP 2008 - CHIFFRES CLES - THEME EVOLUTION-STRUCTURE POPULATION,1303
ddtm47 - Etablissements scolaires du premier degré,1052,ETABLISSEMENTS SCOLAIRES PUB ET PRI DU 1ER DEGRE,762
erdf - Réseau aérien basse tension <=400V,1161,TRONCON AERIEN BASSE TENSION : <= 400 V,1286
limites_admin - Communes de Gironde,1222,GIRONDE : COMMUNES SUIVIES POUR LE MOUSTIQUE TIGRE,4354
insee - Population legales 2008 dgf,1335,RECENSEMENT POP 2008 - CHIFFRES CLES - THEME EVOLUTION-STRUCTURE POPULATION,1303
ocs - Evolution de la surface F entre 2000 et 2009,123,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
carmen - Parcs naturels régionaux,261,PARCS NATURELS (PN) : AQUITAINE,3874
ocs - Evolution de la surface N entre 2000 et 2009,325,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface A en 2000 devenues U en 2009,341,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
dfci - Travaux financés - saisie point,390,TYPO TRAVAUX DFCI MASSIF LG,3333
dfci - Travaux financés - saisie ligne,682,TYPO TRAVAUX DFCI MASSIF LG,3333
carmen - Parcs naturels régionaux,706,PARCS NATURELS (PN) : AQUITAINE,3874
ign_courbes_niveau - Courbes de niveau,946,COURBES DE NIVEAU MNT EN 2001,4081
telespazio - Contour de feux 2015,91,CONTOUR DES FEUX DE FORET SUPERIEUR A 5 HA,652
ocs - Surface N en 2000 devenues A en 2009,329,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface N en 2000 devenues U en 2009,338,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface A en 2000 devenues N en 2009,339,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface A en 2000 devenues F en 2009,340,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface F en 2000 devenues A en 2009,343,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface F en 2000 devenues U en 2009,344,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface U en 2000 devenues A en 2009,489,PRÊT TAUX ZERO DE 2000 A 2007,1950
wms_externe - ONF : Forêts relevant du régime forestier,1819,FORET RELEVANT DU REGIME FORESTIER,267
Pigma - Aquitaine zonages urbanisme,1897,POPULATION 1990-2007 DES PRINCIPAUX ZONAGES GEOGRAPHIQUES EN AQUITAINE,1927
ocs - Surface N en 2000 devenues F en 2009,337,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface F en 2000 devenues N en 2009,342,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface U en 2000 devenues N en 2009,488,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
ocs - Surface U en 2000 devenues F en 2009,490,ETALAB : SURFACE EN EAU 2000 / SURFACE EN EAU 2006,2741
socio_economique - 15 ans et + non scolarisés,504,POP DE 15 ANS ET + NON SCOLARISES,2055
pompier - Lieux dits (SDIS47),528,BD TOPO : T. PONTS D'ACTIVITE OU D'INTERETS (PAI) ET TOPONYMES DE LIEUX DITS,1057
bdtopo - Lieux dits (BD Topo),693,BD TOPO : T. PONTS D'ACTIVITE OU D'INTERETS (PAI) ET TOPONYMES DE LIEUX DITS,1057
pompier - Lieux dits (SDIS33),917,BD TOPO : T. PONTS D'ACTIVITE OU D'INTERETS (PAI) ET TOPONYMES DE LIEUX DITS,1057
pompier - Points d'eau naturels,1981,DENSITE DE POINTS D'EAU (NIVEAU COMMUNE GENERALISEES),1634
wms_externe - Crues Adour 2014,1996,PAYS ADOUR CHALOSSE TURSAN - 2014,3854
projets_infrastructures - Fuseau retenu LGV GPSO,472,GPSO (FUSEAU RETENU DE 1000M),4486
erdf - Réseau enterré basse tension <=400V,936,TRONCON AERIEN BASSE TENSION : <= 400 V,1286
insee - Population Iris 2012 cercle,1639,RECENSEMENT POP 2007 - IRIS - THEME POPULATION,1226
pompier - Détection des feux 2016,1971,DOC : ORDRE OPERATIONS FEUX DE FORET 2016 : GIRONDE,3763
insee - Population par départements 2008,375,RECENSEMENT POP 2008 - CHIFFRES CLES - THEME EVOLUTION-STRUCTURE POPULATION,1303
ars - Services d'hospitalisations à domicile,518,CARTE STRUCTURES PROPOSANT SERVICES D'AIDES A DOMICILE,3386
wms_externe - Point de ventes de titres de tranport,765,TRANSPORT COLLECTIF : POINT VENTE TITRES TRANSPORT,1431
onf - ONF - îlots de nettoyage Klaus non subventionnés,817,ILOTS DE NETTOYAGE PLAN CHABLIS KLAUS,1025
ars - Services de soins de suite et de réadaptation,832,SERVICES DE SOINS INFIRMIERS A DOMICILE (SSIAD),3676
onf - ONF - îlots de reconstitution Klaus non subventionnés,835,ILOTS DE RECONSTITUTION PLAN CHABLIS KLAUS,1024
wms_externe - Agence Adour Garonne,884,PERIMETRE PLANS DE GESTION DES POISSONS MIGRATEURS BASSIN ADOUR GARONNE,247
wms_externe - Agence Adour Garonne,1217,PERIMETRE PLANS DE GESTION DES POISSONS MIGRATEURS BASSIN ADOUR GARONNE,247
ddtm47 - Points de prélèvements d'eau pour l'irrigation agricole,1266,POINTS PRELEVEMENTS EAU IRRIGATION AGRICOLE,3591
insee - Population Iris 2012 surface,1655,RECENSEMENT POP 2007 - IRIS - THEME POPULATION,1226
insee - Population par arrondissements 2007,164,RECENSEMENT POP 2007 - IRIS - THEME POPULATION,1226
sidpc - SIDPC47  - Zones tampons signalements,509,SENSIBILITE PLUVIAL  : ZONES,2168
pompier - Points d'eau artificiels,1968,DENSITE DE POINTS D'EAU (NIVEAU COMMUNE GENERALISEES),1634
ZICO - Zone d intérêt pour les oiseaux,434,ZONE VULNERABLE POUR LES NITRATES,244
xynthia - Hauteur d'eau mesurée par le BRGM,752,OCA : SUBMERSION XYNTHIA - HAUTEURS D'EAU,2979
insee - Population par intercommunalités 2007,479,RECENSEMENT POP 2007 - IRIS - THEME POPULATION,1226
socio_economique - Part des chômeurs de 15-24 ans,1034,PART CHOMEURS 15-24 ANS / 15-64 ANS,2036
socio_economique - Part des chômeurs de 55-64 ans (15-64),1036,PART DES 55-64 ANS DS POP TOTALE,2044
socio_economique - Part des chômeurs de 25-54 ans,1037,PART CHOMEURS 25-54 ANS / 15-64 ANS,2039
dreal - Enveloppes aléas inondation TRI Agen (forte, moyenne et faible probabi,1344,SINISTRALITE COMMUNES TRI - INONDATION,4427
rectorat - Etablissements scolaires du 2nd degré (rectorat),110,ETABLISSEMENTS SCOLAIRES PUB ET PRI DU 1ER DEGRE,762
ocs - Surfaces consommées des espaces F entre 2000 et 2009,345,SUIVI NAFU DES ESPACES N, A ET F,3466
rectorat - Etablissements scolaires du 1er degré (rectorat),441,ETABLISSEMENTS SCOLAIRES PUB ET PRI DU 1ER DEGRE,762
xynthia - Après vérification terrain par le BRGM,529,OCA : SUBMERSION XYNTHIA - SURFACES INONDEES APRES VERIFICATION TERRAIN,2988
carmen - Zone d'intérêt pour les oiseaux (ZICO),1328,ZONE VULNERABLE POUR LES NITRATES,244
