GeoServer,ID GeoServer,BSD,ID BSD
IGN BD TOPO - Réservoir d'eau - Région étendue,FeatureTypeInfoImpl--2c77ddf1:14bdb1221c9:330c,BD TOPO : SURFACE D'EAU,1828
IGN BD TOPO - Toponymes divers,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e70,BD TOPO : OUVRAGE DIVERS,1818
IGN BD TOPO - Troncons cours d'eau - Région étendue,FeatureTypeInfoImpl--2c77ddf1:14bdb2da1a3:5823,BD TOPO : SURFACE D'EAU,1828
IGN BD TOPO - Zone Végétation,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-713a,ZONE ARBOREE BD TOPO,68
IGN BD TOPO - Zone Végétation - Région étendue,FeatureTypeInfoImpl--2c77ddf1:14bd99631d7:33cb,ZONE ARBOREE BD TOPO,68
PNR LG -  Zones de Gagnage de la Grue Cendrée,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-63da,GRUE CENDREE : ZONES GAGNAGE,771
DREAL - Trafic comptages CUB de 2010 à 2014,FeatureTypeInfoImpl-69be8d:14eba61c107:3850,TRAFIC ROUTIER : TRAFIC COMPTAGES CUB 2010-2014,3769
IGN BD TOPO - Communes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e56,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN - Communes Nouvelle Aquitaine,FeatureTypeInfoImpl--1bed10f1:14f885c2c3f:-50e6,NOUVELLE AQUITAINE : SCAN 1000® IGN,3887
IGN BD TOPO - PAI sport,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e88,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Conduites,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e3c,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
DDCSPP 47 - Elevages ovins et caprins,FeatureTypeInfoImpl-48337e3e:150c7ccc759:3057,ELEVAGES OVINS OU/ET CAPRINS LAITIERS OU MIXTES,4308
IGN BD TOPO -  Oronymes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e5c,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - PAI sante,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e78,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Réservoir,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e4a,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Transport cable,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e38,BD TOPO : T. RESEAU DE TRANSPORT D'ENERGIE,1053
PIGMA - Part des actifs 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:-6671,PART DES ACTIFS 15-24 ANS DS POP DES 15-24 ANS,2046
PIGMA - Part des actifs 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:4bd3,PART DES ACTIFS 25-54 ANS DS POP DES 25-54 ANS,2047
PIGMA - Part des actifs 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:5a6d,PART DES ACTIFS 55-64 ANS DS POP DES 55-64 ANS,2048
IGN BD TOPO - Cimetières,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e50,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Hydronymes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e60,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Toponymes ferrés,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e34,BD TOPO : T. PONTS D'ACTIVITE OU D'INTERETS (PAI) ET TOPONYMES DE LIEUX DITS,1057
IGN BD TOPO - Lieu dit habité,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e6c,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Chefs-lieux,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e58,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
SMBV des Lacs du Born - Zones humides effectives,FeatureTypeInfoImpl-6b25b570:152f4e8a74b:-388a,CARTOGRAPHIE ZONES HUMIDES EFFECTIVES,4292
DREAL - Centres d'examen des permis de conduire en 2014 en Aquitaine,FeatureTypeInfoImpl-1bfb0579:14dd2b21513:-5bc1,CENTRES D'EXAMENS PERMIS DE CONDUIRE,1117
IGN BD TOPO - Departements,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7de8,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
SMEAG -  Station de suivi du bouchon vaseux à Portets (33),FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7fb2,STATION DE MESURE DE BOUCHON VASEUX,435
SRCE - OA Cours d'eau à préserver,FeatureTypeInfoImpl-4d80d622:153a8791791:336b,SRCE / ELEMENTS FRAGMENTANTS : COURS D'EAU,2627
SRCE - OA Cours d'eau à restaurer,FeatureTypeInfoImpl-4d80d622:153a8791791:33d7,SRCE / ELEMENTS FRAGMENTANTS : COURS D'EAU,2627
Vue aérienne Couleur de 2012 du Bassin d'Arcachon,CoverageInfoImpl-3dad044:1455f931d07:-4df3,OCA : MESURES DE REFLECTANCE SUR LA COULEUR DE L'EAU - BASSIN D'ARCACHON,2946
IGN BD TOPO - Canalisations eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e5e,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - PAI religieux,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e7c,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
DREAL - Communes soumises au risque Inondation,FeatureTypeInfoImpl--25674c34:158e41464a2:-61e,COMMUNES CONCERNEES PAR RISQUE INONDATION,1155
IGN BD TOPO - Routes nommées,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e2e,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
PIGMA - Part des 15-24 ans dans la population totale 2009,FeatureTypeInfoImpl-43d64256:13adafc165f:-4dd5,PART DES 15-24 ANS DS POP TOTALE,2042
PIGMA - Part des 25-54 ans dans la population totale 2009,FeatureTypeInfoImpl-43d64256:13ada8f133b:42c2,PART DES 25-54 ANS DS POP TOTALE,2043
PIGMA - Part des 55-64 ans dans la population totale en 2009,FeatureTypeInfoImpl-43d64256:13adaa976ed:-5520,PART DES 55-64 ANS DS POP TOTALE,2044
PIGMA - Part des chômeurs de 15-24 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:4cc,PART CHOMEURS 15-24 ANS / 15-64 ANS,2036
PIGMA - Part des chômeurs de 25-54 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-66c8,PART CHOMEURS 25-54 ANS / 15-64 ANS,2039
PIGMA - Part des chômeurs de 55-64 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-29e1,PART CHOMEURS 55-64 ANS / 15-64 ANS,2041
DRAC - Périmètres de protection des monuments historiques (500m),FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f63,PERIMETRE DE PROTECTION DES MONUMENTS HISTORIQUES,159
IGN BD TOPO - Terrains de sport,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e52,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Tronçon laisse,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e66,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
SRCE_2014 Cours d'eau de la trame bleu,FeatureTypeInfoImpl--1349261:1431092c4c4:6d3a,SRCE / TRAME BLEUE : COURS D'EAU TRES BON ETAT (LEMA),2654
CE24 - Zonage de prime à l'aménagement du territoire,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e98,PRIME A L AMENAGEMENT DU TERRITOIRE (PAT) : ZONAGE,643
IGN BD TOPO - Bati Industriel,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e4e,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
PIGMA - Croissance de la population par commune de 1968 à 2008,FeatureTypeInfoImpl-44687cb7:13615ef08a7:317,TX CROISSANCE POP ENTRE 1968 ET 2008,1307
IGN BD TOPO - Routes primaires,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e26,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - PAI hydrographie,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e80,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO -  Surfaces routes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e28,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO -  Bati remarquable,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e48,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
DREAL - Doc urbanisme Nord Medoc (PLU/POS/CC),FeatureTypeInfoImpl-7a81c763:139d378b295:2bb8,DOCUMENT URBANISME : NORD MEDOC EN GIRONDE,2252
RAUDIN - Point d’Accès Public à Internet (PAPI),FeatureTypeInfoImpl-5d223b53:134e5d6d059:-358f,POINT D'ACCES PUBLICS A INTERNET (PAPI) 2009,1026
SIAEP LALINDE - Canalisation de branchement à l'assainissement collectif,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4b73,ASSAINISSEMENT COLLECTIF : CANALISATION DE BRANCHEMENT,1704
DREAL - Doc urbanisme Nord Medoc (Prescriptions P),FeatureTypeInfoImpl--3b70f1bd:139d81f8018:4480,DOCUMENT URBANISME : NORD MEDOC EN GIRONDE,2252
IGN BD TOPO -  Lieux-dits non habité,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e6e,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Lignes électriques,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e40,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
DREAL - Doc urbanisme Nord Medoc (Prescriptions L),FeatureTypeInfoImpl--3b70f1bd:139d81f8018:44b9,DOCUMENT URBANISME : NORD MEDOC EN GIRONDE,2252
DREAL - Doc urbanisme Nord Medoc (Prescriptions S),FeatureTypeInfoImpl--3b70f1bd:139d81f8018:44da,DOCUMENT URBANISME : NORD MEDOC EN GIRONDE,2252
IGN BD TOPO - Bati indifférencié,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e44,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Routes principales,FeatureTypeInfoImpl-75428ea9:14d43502664:6fb0,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Routes secondaires,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e2c,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
SRCE  - RB obligatoires hors cours d'eau,FeatureTypeInfoImpl--4a30557a:13af28f792b:992,SRCE / ELEMENTS FRAGMENTANTS : COURS D'EAU,2627
IGN BD TOPO - Lignes orographiques,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e5a,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Poste transformation,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e3e,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Constructions légères,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e54,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
SRCE - Proposition ajout cours d'eau TB - Mai 2013,FeatureTypeInfoImpl-5c3c0fbe:13ee3b701c3:-5a21,SRCE / ELEMENTS FRAGMENTANTS : COURS D'EAU,2627
IGN BD TOPO - Tronçons voies ferrées,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e36,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Toponyme communication,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e2a,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Constructions linéaires,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e4c,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Constructions surfaciques,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e46,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Canalisations eau - Région étendue,FeatureTypeInfoImpl--2c77ddf1:14bdab25771:7c5f,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Terrains de sport (enseignement),FeatureTypeInfoImpl--47a78624:139dea10bac:-700c,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Tronçon laisse - Région étendue,FeatureTypeInfoImpl--2c77ddf1:14bdb4ff59d:3899,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Hydronymes - Région étendue,FeatureTypeInfoImpl--2c77ddf1:14bdae1b5e9:ed3,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
CR Aqutaine - Estuaire Adour 1ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae2f54845:75ec,ARTELIA : GISEMENT HYDROLIEN BRUT (ESTUAIRE DE LA GIRONDE, VITESSES>1M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3156
IGN BD TOPO - Surfacique activité enseignement,FeatureTypeInfoImpl-31f73896:139057a5d0a:-1356,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
CR Aqutaine - Houle nearshore - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-40b93b40:14ae3e03095:2e67,ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES SUR LES POINTS HOULE NEARSHORE,3151
CR Aqutaine - Houle offshore - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-40b93b40:14ae3f8038a:5c93,ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES SUR LES POINTS HOULE OFFSHORE,3152
CR Aqutaine - Bassin Arcachon 1ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae30c2fb5:5f32,ARTELIA : GISEMENT HYDROLIEN BRUT (ESTUAIRE DE LA GIRONDE, VITESSES>1M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3156
CR Aqutaine - Estuaire Gironde 1ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae38b9471:-1c5d,ARTELIA : GISEMENT HYDROLIEN BRUT (ESTUAIRE DE LA GIRONDE, VITESSES>1M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3156
Rectorat - Etablissements du 2nd degré avec EPI (Novembre 2016),FeatureTypeInfoImpl--7b1f44fd:143069985a2:-1697,ETABLISSEMENTS SCOLAIRES PUB ET PRI DU 2ND DEGRE AVEC EPI,3174
Suivi des DU - Comparaison date approbation DU intégré et date SUDOCUH,FeatureTypeInfoImpl-2cbed9d4:152ca1b111b:4d2,SUIVI DU GRAVELOT A COLLIER INTERROMPU,3460
Suivi des DU - Comparaison date approbation DU intégré et date SUDOCUH,FeatureTypeInfoImpl--71dfccad:1559111f8d6:324d,SUIVI DU GRAVELOT A COLLIER INTERROMPU,3460
Suivi des DU - Comparaison date approbation DU intégré et date SUDOCUH,FeatureTypeInfoImpl--4ecb909f:15b00e4e6d7:53ef,SUIVI DU GRAVELOT A COLLIER INTERROMPU,3460
CR Aqutaine - Bassin Arcachon 1.5ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae2fc9792:14ca,ARTELIA : GISEMENT HYDROLIEN BRUT (ESTUAIRE DE LA GIRONDE, VITESSES>1M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3156
CR Aqutaine - Estuaire Gironde 1.5ms Gisement hydrolien brut,FeatureTypeInfoImpl-40b93b40:14ae30c2fb5:5f6c,ARTELIA : GISEMENT HYDROLIEN BRUT (ESTUAIRE DE LA GIRONDE, VITESSES>1M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3156
CR Aqutaine - Estuaire Gironde avec contraintes 1ms Gisement hydrolien brut,FeatureTypeInfoImpl-2913d3a8:14ae80226db:f14,ARTELIA : GISEMENT HYDROLIEN BRUT (ESTUAIRE DE LA GIRONDE, VITESSES>1M/S, MOYENNE SUR UNE MARREE DE VIVES EAUX, COEFFICIENT 95),3156
CR Aqutaine - Points pose Estuaire Adour - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-2913d3a8:14ae788d65c:71c,ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES SUR LES POINTS DE POSE (HORS CEL) DE L'EOLIEN POSE,3150
CR Aqutaine - Zones pose Dordogne - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-2913d3a8:14ae79fbdaa:2531,ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES : HYDROLIEN (POINTS DE POSE SUR L'ESTUAIRE DE L'ADOUR),3161
CR Aqutaine - Points pose Estuaire Gironde - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-2913d3a8:14ae7bfd241:-52c4,ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES SUR LES POINTS DE POSE (HORS CEL) DE L'EOLIEN POSE,3150
CR Aqutaine - Zones pose Bassin Arcachon - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-40b93b40:14ae42b46ba:6577,ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES : HYDROLIEN (ZONES POTENTIELLES SUR LE BASSIN D'ARCACHON),3163
CR Aqutaine - Zones pose Estuaire Adour - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-40b93b40:14ae3a76112:-4b10,ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES : HYDROLIEN (POINTS DE POSE SUR L'ESTUAIRE DE L'ADOUR),3161
CR Aqutaine - Zones pose Estuaire Gironde - Calcul des potentiels technico-économiques hydrolien,FeatureTypeInfoImpl-40b93b40:14ae38bb7c3:62de,ARTELIA : CALCULS DES POTENTIELS TECHNICO-ECONOMIQUES : HYDROLIEN (POINTS DE POSE SUR L'ESTUAIRE DE L'ADOUR),3161
CA Cote Basque Adour - Ortho 2011 2,5m,CoverageInfoImpl-381b45bf:144f98e152b:-74d5,ORTHO 2011,2693
Infrastructures Cyclables Existantes - Référentiel Unique département de la Gironde 33 - Atelier pistes cyclables,FeatureTypeInfoImpl-3215f0b9:1501e697e6c:-5c68,PISTES CYCLABLES,117
